frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
62,4.133333,15,0.0000,0.0000,0.1890,0.0000,0.0000,0.0033,0.0000,0.0000,0.0579,0.0285,0.0000,0.0000,-0.1986,-0.0116,3.0597,0.0192,0.0082,0.0105,-1.3926,-0.0371,9.5295,-0.9640,-0.0236,-1.6651,-17.2454,-7.3528,-2.6325,0.5048,-5.3756,-0.6556,-0.5665,0.9880,1.4647,18.4666,0.0000,0.0000
63,4.200000,15,0.0000,0.0000,0.1525,0.0000,0.0000,0.0184,0.0000,0.0000,0.0285,0.0224,0.0000,0.0000,0.1262,-0.0200,0.1519,0.1663,1.7664,0.0578,-8.4629,0.7312,-14.2750,-3.9827,-0.1028,-7.5157,-26.5821,-6.6030,-3.5714,4.9505,-5.2780,2.7520,-0.2063,3.1612,20.0190,10.9049,0.0000,0.0000
64,4.266667,15,0.0000,0.0000,0.1969,0.0000,0.0000,0.0206,0.0000,0.0000,0.1159,0.0078,0.0000,0.0000,0.1495,-0.0171,0.2608,0.2053,1.3707,0.0078,-3.8178,0.8893,10.3352,0.4274,0.0366,-5.2255,-14.7224,-4.5202,-1.7029,3.3011,3.9778,4.0579,1.2145,0.4517,4.5987,3.2310,0.0000,0.0000
65,4.333333,15,0.0000,0.0000,0.1708,0.0000,0.0000,0.0051,0.0000,0.0000,0.0869,-0.0098,0.0000,0.0000,0.1102,0.0095,0.3121,0.2847,0.0460,0.0767,-9.9242,1.1993,6.2223,-2.0605,-0.0559,-9.0221,-19.5049,-4.0300,-2.1508,1.1376,3.6762,5.7635,1.2609,-1.6377,6.1619,7.7482,0.0000,0.0000
66,4.400000,15,0.0000,0.0000,0.1748,0.0000,0.0000,0.0261,0.0000,0.0000,0.0818,0.0447,0.0000,0.0000,0.1500,-0.0321,0.2752,0.1701,1.6967,0.1145,-7.6103,-1.1770,-4.8190,-3.5435,-0.0815,-3.8872,-30.1879,-9.5991,-4.7478,3.4397,0.4621,2.1359,-0.1803,3.8756,24.9244,2.0807,0.0000,0.0000
67,4.466667,15,0.0000,0.0000,0.1698,0.0000,0.0000,0.0216,0.0000,0.0000,0.0892,0.0308,0.0000,0.0000,0.1850,-0.0302,0.2647,0.3681,3.1504,0.1148,-14.3114,-0.8588,-15.0645,-6.4084,-0.1728,-7.5727,-16.9514,-4.1079,-2.6263,-0.6753,7.6088,5.7401,0.7481,0.6039,2.4230,7.2670,0.0000,0.0000
68,4.533333,15,0.0000,0.0000,0.2261,0.0000,0.0000,0.0231,0.0000,0.0000,0.1184,-0.0043,0.0000,0.0000,-3.8523,3.6867,0.3215,0.0129,0.0109,0.0181,-3.3381,0.2926,-3.7589,0.7542,0.0494,-3.7583,-10.6316,-3.8197,-1.8048,2.3420,1.0285,2.6855,-0.2265,3.6638,1.8304,10.8961,0.0000,0.0000
69,4.600000,15,0.0000,0.0000,0.1861,0.0000,0.0000,0.0069,0.0000,0.0000,0.0825,0.0135,0.0000,0.0000,0.1223,-0.0027,0.3452,0.2543,0.0143,0.0247,-8.2105,-2.9293,-2.6212,-1.1232,-0.0247,-1.5135,-8.1889,-3.8905,-1.3183,-0.5529,7.6194,3.4292,0.8403,0.1817,1.7107,2.2172,0.0000,0.0000
70,4.666667,15,0.0000,0.0000,0.1519,0.0000,0.0000,0.0148,0.0000,0.0000,0.1040,0.0104,0.0000,0.0000,0.1494,-0.0105,0.3764,0.3121,0.0923,0.0699,-9.7139,-0.9460,0.9380,-2.0994,-0.0474,-5.5261,-23.4549,-6.9294,-3.1656,5.3197,-3.2354,2.0639,0.0340,3.2142,10.4309,12.3421,0.0000,0.0000
71,4.733333,15,0.0000,0.0000,0.1879,0.0000,0.0000,0.0265,0.0000,0.0000,0.0723,0.0415,0.0000,0.0000,0.1746,-0.0404,0.3516,0.3161,0.0750,0.0560,-16.9633,-7.0135,-3.1596,-3.7115,-0.0859,-0.3574,-9.8877,-5.1873,-1.9530,3.3224,0.6497,0.1767,-0.8006,5.6359,1.4909,2.3316,0.0000,0.0000
72,4.800000,15,0.0000,0.0000,0.2141,0.0000,0.0000,0.0292,0.0000,0.0000,0.1325,0.0133,0.0000,0.0000,-3.8408,3.6854,0.4120,0.0340,3.1585,0.0160,-12.5219,-6.2684,5.6038,-2.6556,-0.0506,0.9586,-8.0987,-4.9799,-2.0093,2.1612,-3.9545,-1.9806,-2.4818,8.0006,0.4646,8.2556,0.0000,0.0000
73,4.866667,15,0.0000,0.0000,0.1550,0.0000,0.0000,0.0256,0.0000,0.0000,0.0847,0.0273,0.0000,0.0000,0.1723,-0.0237,0.3585,0.3015,0.0073,0.0647,-15.0773,-6.0502,-3.5142,-4.9995,-0.1262,-0.6936,-17.5547,-8.1899,-3.5308,3.0449,-5.3697,-1.7555,-1.9291,6.3332,4.0849,4.8191,0.0000,0.0000
74,4.933333,15,0.0000,0.0000,0.1175,0.0000,0.0000,0.0183,0.0000,0.0000,0.0905,0.0381,0.0000,0.0000,0.1454,-0.0301,0.4291,0.2714,3.1307,0.0722,-0.0457,0.3459,-1.5525,0.4307,0.0347,-1.4901,-3.7873,-1.8475,-0.5701,0.3443,6.6279,3.1454,1.0452,-0.4023,2.4928,2.5765,0.0000,0.0000
75,5.000000,15,0.0000,0.0000,0.1370,0.0000,0.0000,0.0259,0.0000,0.0000,0.0970,0.0474,0.0000,0.0000,0.1383,-0.0280,0.2974,0.2741,0.0203,0.0264,-10.1569,-6.4074,-6.0143,-3.9752,-0.0949,2.5504,-17.3926,-10.0661,-3.7581,1.7977,-8.2428,-4.9371,-2.6682,6.4299,15.6952,14.0842,0.0000,0.0000
76,5.066667,15,0.0000,0.0000,0.1412,0.0000,0.0000,0.0197,0.0000,0.0000,0.0995,0.0193,0.0000,0.0000,-3.8516,3.6853,0.2628,0.1277,0.1343,0.0875,-8.8028,1.5392,-8.9701,-0.7592,-0.0009,-9.1713,-8.9461,-0.9179,-1.3311,-0.3473,18.1888,9.5396,2.2204,-0.5183,5.9409,13.3600,0.0000,0.0000
77,5.133333,15,0.0000,0.0000,0.1018,0.0000,0.0000,0.0185,0.0000,0.0000,0.0841,0.0327,0.0000,0.0000,0.1565,-0.0170,0.3990,0.1756,3.2356,0.0508,-14.0191,-0.7816,-1.7899,-6.2788,-0.1725,-7.6698,-26.2615,-6.5076,-3.9497,0.9816,5.1401,5.2072,0.4834,1.8419,14.6384,9.1251,0.0000,0.0000
78,5.200000,15,0.0000,0.0000,0.0517,0.0000,0.0000,0.0108,0.0000,0.0000,0.0489,0.0608,0.0000,0.0000,0.1822,-0.0339,0.2728,0.3198,0.0033,0.0503,-14.9069,1.0690,-0.2462,-3.5468,-0.0962,-10.9101,-15.6677,-2.1104,-1.6420,0.5148,12.8840,8.3946,2.1800,-2.5592,4.2453,7.3545,0.0000,0.0000
79,5.266667,15,0.0000,0.0000,0.0575,0.0000,0.0000,0.0244,0.0000,0.0000,0.0696,0.0640,0.0000,0.0000,0.1663,-0.0524,0.4112,0.2952,1.4183,0.0857,-9.7018,0.1235,3.1669,-2.0596,-0.0374,-7.3765,-24.3770,-6.0153,-2.9341,5.3629,1.6496,4.4351,0.8510,2.2755,10.2578,0.0887,0.0000,0.0000
80,5.333333,15,0.0000,0.0000,-3.7779,0.0000,0.0000,0.0116,0.0000,0.0000,0.0854,0.0436,0.0000,0.0000,0.1821,-0.0313,0.4374,0.3207,0.0181,0.0526,-8.8203,3.6505,7.5236,-0.9104,-0.0139,-19.1238,-28.8399,0.1998,-1.0012,8.6714,10.5096,11.1877,3.2155,-1.9895,7.8794,4.9415,0.0000,0.0000
81,5.400000,15,0.0000,0.0000,-3.8744,0.0000,0.0000,0.0040,0.0000,0.0000,0.0981,0.0151,0.0000,0.0000,0.1650,-0.0148,0.3992,0.3346,1.4157,0.0054,-11.0607,-3.0806,33.4739,-0.9139,-0.0217,-8.9907,-8.9143,-0.9791,-0.8822,1.6189,7.5233,6.6670,1.7815,-1.9734,0.8204,0.1235,0.0000,0.0000
82,5.466667,15,0.0000,0.0000,-3.8931,0.0000,0.0000,0.0164,0.0000,0.0000,0.0518,0.0070,0.0000,0.0000,0.1547,-0.0003,2.9769,0.3619,1.7301,0.0177,-6.8874,0.1474,31.2295,0.5497,0.0361,-12.7415,-12.3506,-0.5637,-0.7885,2.2869,14.2618,9.5189,2.8533,-4.1971,1.8388,9.6267,0.0000,0.0000
83,5.533333,15,0.0000,0.0000,-3.9013,0.0000,0.0000,0.0078,0.0000,0.0000,1.0535,0.0184,0.0000,0.0000,0.1670,-0.0018,3.9829,0.2321,1.4315,0.0044,-10.9093,-12.4212,47.2483,-0.9086,-0.0176,4.6407,8.0707,4.8012,1.1249,-0.4309,-4.9969,-5.1172,-1.5695,3.2900,14.9846,9.6681,0.0000,0.0000
84,5.600000,15,0.0000,0.0000,-3.9179,0.0000,0.0000,0.0116,0.0000,0.0000,-0.1199,0.0230,0.0000,0.0000,0.1742,-0.0105,2.9198,0.3780,0.0073,0.0920,-23.2493,-4.1378,43.5796,-3.5407,-0.0952,-11.1437,-3.3452,1.6255,-0.3214,5.0410,4.9910,6.9431,1.4932,0.9644,12.8724,4.6265,0.0000,0.0000
85,5.666667,15,0.0000,0.0000,-0.0334,0.0000,0.0000,0.0095,0.0000,0.0000,-2.7033,-0.0320,0.0000,0.0000,-3.8507,3.7064,0.3620,0.0581,3.2154,0.0547,-14.1504,-1.6998,26.3116,-3.3562,-0.0919,-17.6595,0.4076,1.6662,0.0716,3.3732,4.6158,10.2565,1.4742,-0.3762,12.3786,1.0438,0.0000,0.0000
86,5.733333,15,0.0000,0.0000,0.0301,0.0000,0.0000,0.0147,0.0000,0.0000,-2.7884,-0.0627,0.0000,0.0000,-3.8450,3.7213,0.4085,0.1060,1.7334,0.0876,-18.1255,-6.3409,2.3048,-4.8363,-0.1323,-11.8613,9.7801,4.5616,1.2765,-0.0780,5.8822,7.6529,0.4849,1.0934,12.4978,4.1155,0.0000,0.0000
87,5.800000,15,0.0000,0.0000,3.9498,0.0000,0.0000,0.0118,0.0000,0.0000,-4.1387,-0.0823,0.0000,0.0000,0.1607,0.0345,2.1922,0.4317,3.1329,0.0482,-11.1055,3.6240,-2.9649,0.8749,0.0421,-31.7799,10.2752,2.5053,0.2630,7.2697,24.4168,14.0448,-355.6767,-9.1777,14.5877,16.0962,0.0000,0.0000
88,5.866667,15,0.0000,0.0000,3.9394,0.0000,0.0000,0.0111,0.0000,0.0000,-4.2498,-0.1231,0.0000,0.0000,-3.8786,3.7682,12.6332,0.1117,3.1723,0.0180,-21.8690,1.9148,-0.2736,-3.5245,-0.0948,-28.0517,7.7051,2.9468,0.5683,10.2672,19.7829,13.8541,3.6761,-1.5186,21.5970,18.6653,0.0000,0.0000
89,5.933333,15,0.0000,0.0000,-1.4547,0.0000,0.0000,1.6009,0.0000,0.0000,-5.9330,1.5130,0.0000,0.0000,-3.8350,2.4782,25.2099,0.3369,3.1885,0.0530,-8.5005,20.0302,-7.9720,-1.9981,1.5340,-51.4525,-9.2664,4.8092,2.2423,18.2191,32.4421,14.9858,-355.8106,-11.2230,1.2027,17.6313,0.0000,0.0000
90,6.000000,15,0.0000,0.0000,-1.4408,0.0000,0.0000,1.5886,0.0000,0.0000,-16.8171,1.4572,0.0000,0.0000,-4.1540,2.5152,7.1127,0.2208,3.1761,0.0350,0.7166,10.4856,-5.7543,5.3322,1.7683,-38.1336,-8.4826,-8.9772,0.7988,13.7083,15.7650,19.5174,-355.4424,-4.4751,24.3268,3.5706,0.0000,0.0000
91,6.066667,15,0.0000,0.0000,0.1774,0.0000,0.0000,0.0013,0.0000,0.0000,-25.1388,-0.1596,0.0000,0.0000,-4.1400,4.1056,0.3363,0.2338,1.8219,0.0449,-12.2642,10.3061,-16.9710,-0.5339,0.0510,-36.4158,-25.8628,-16.7910,0.7257,17.7794,3.9290,19.5115,-355.6469,0.9766,36.0374,11.1296,0.0000,0.0000
92,6.133333,15,0.0000,0.0000,4.0553,0.0000,0.0000,0.0083,0.0000,0.0000,-22.4459,-0.1975,0.0000,0.0000,-3.8703,3.8194,4.3355,0.2274,3.2376,0.1233,-5.9236,3.0092,-14.6410,-0.5349,-0.0047,-32.0032,18.5787,-12.7557,0.7119,17.7368,-1.8732,17.8569,3.6181,2.5183,3.5866,13.6642,0.0000,0.0000
93,6.200000,15,0.0000,0.0000,-1.4389,0.0000,0.0000,1.5885,0.0000,0.0000,-25.7184,1.3782,0.0000,0.0000,-4.1902,2.5404,13.4988,0.1912,1.8355,0.0412,-3.2190,10.2127,-17.8438,-1.9509,1.5243,-36.4729,11.9146,-15.4679,-0.0006,16.1797,8.1215,20.0734,-354.9503,-3.9843,9.1482,5.8865,0.0000,0.0000
94,6.266667,15,0.0000,0.0000,-1.3649,0.0000,0.0000,1.5942,0.0000,0.0000,-22.7277,1.3559,0.0000,0.0000,-4.1973,2.5664,20.2292,0.2186,1.8140,0.0191,-0.2181,8.6180,-15.8359,0.9400,1.6290,-33.9967,12.9613,-13.3437,0.1992,14.8343,7.8173,19.1284,-355.4099,-2.7944,17.7138,6.0926,0.0000,0.0000
95,6.333333,15,0.0000,0.0000,-1.4348,0.0000,0.0000,1.6109,0.0000,0.0000,-27.1636,-3.8863,0.0000,0.0000,-4.2151,2.5614,9.0262,0.2121,0.1947,0.0969,4.8919,8.4160,-17.0494,2.4369,1.6958,-34.8058,46.3026,-10.4104,1.5162,7.4062,12.2020,18.8766,3.6610,-4.7636,13.1390,3.5872,0.0000,0.0000
96,6.400000,15,0.0000,0.0000,-1.5461,0.0000,0.0000,1.6658,0.0000,0.0000,-49.3585,-3.8741,0.0000,0.0000,-4.3011,2.5512,16.0524,0.0096,1.9194,0.0039,4.6198,8.5680,-10.3286,2.1520,1.7404,-34.8405,31.0826,-42.1158,1.9377,7.4665,11.9266,19.0126,3.6739,-4.8097,24.6432,2.0424,0.0000,0.0000
97,6.466667,15,0.0000,0.0000,-1.5580,0.0000,0.0000,1.6495,0.0000,0.0000,-49.2824,-3.9587,0.0000,0.0000,-4.3135,2.6122,11.0498,0.1772,3.2198,0.1075,2.7879,7.0493,-5.9907,3.9396,1.7841,-30.3597,67.8249,-13.6499,3.3840,7.1054,7.4436,17.7436,3.0107,-2.8090,5.9791,11.1766,0.0000,0.0000
98,6.533333,15,0.0000,0.0000,-1.5576,0.0000,0.0000,1.6255,0.0000,0.0000,-46.9274,-3.9344,0.0000,0.0000,-4.3322,2.6193,4.6040,0.1295,1.7805,0.0185,-8.0305,11.4773,-4.0064,-3.3534,1.5111,-37.3046,60.0160,-10.3477,0.1722,10.0630,15.5871,18.7863,-355.7929,-5.4588,15.3175,9.1530,0.0000,0.0000
99,6.600000,15,0.0000,0.0000,-1.5172,0.0000,0.0000,1.6085,0.0000,0.0000,-46.8037,-3.9968,0.0000,0.0000,-4.3493,2.6376,10.6763,0.0320,1.8920,0.0156,5.8400,10.6913,-2.0523,-0.4355,1.5964,-41.3803,60.4774,-15.4374,-0.6799,7.7486,22.1453,18.3888,-355.6819,-8.4123,17.2353,11.0534,0.0000,0.0000
100,6.666667,15,0.0000,0.0000,-1.5943,0.0000,0.0000,1.6448,0.0000,0.0000,-51.7281,-3.9666,0.0000,0.0000,-4.3538,2.6141,15.5384,0.0307,1.9500,0.0428,1.1422,10.9762,0.5511,2.3741,1.7275,-39.2310,67.5559,-16.0397,0.7092,8.6610,18.7937,19.0345,4.0759,-5.6974,15.4731,1.3299,0.0000,0.0000
101,6.733333,15,0.0000,0.0000,-1.6067,0.0000,0.0000,1.6336,0.0000,0.0000,-51.7094,-4.0320,0.0000,0.0000,-4.3571,2.6455,15.2234,0.0312,1.9136,0.0893,-4.6671,1.0428,12.1172,-0.5377,1.6180,-18.0715,71.7954,10.7236,6.2472,10.7118,-12.3005,10.0351,-0.2258,4.9772,19.9074,20.8210,0.0000,0.0000
102,6.800000,15,0.0000,0.0000,-1.5760,0.0000,0.0000,1.6185,0.0000,0.0000,-54.3172,-4.0034,0.0000,0.0000,-4.4303,2.6695,123.6864,0.0717,1.7775,0.0917,-13.5387,15.1140,-6.1054,-2.0843,1.5488,-41.4838,69.4845,-2.7147,-1.0345,12.8396,17.7242,19.7460,-355.4966,-5.2333,0.0000,6.1467,0.0000,0.0000
103,6.866667,15,0.0000,0.0000,-1.6787,0.0000,0.0000,1.6950,0.0000,0.0000,-54.5409,-3.9529,0.0000,0.0000,-4.4080,2.6022,117.5122,0.0142,0.0105,0.0175,-17.5340,14.4499,-10.8026,-2.6391,1.6024,-39.3352,69.5304,-0.3815,-0.4244,15.7954,13.8313,20.0952,-355.5905,-1.3743,0.0000,3.4045,0.0000,0.0000
104,6.933333,15,0.0000,0.0000,-0.6082,0.0000,0.0000,3.3646,0.0000,0.0000,-58.6609,-1.8017,0.0000,0.0000,-4.7266,1.2769,104.3350,0.0381,1.9757,0.1164,-8.7167,15.6219,-1.2841,-0.9467,3.3260,-34.9988,72.9504,3.4765,-0.3263,13.7470,6.1477,21.3723,-355.5260,-2.7344,120.5228,4.6393,0.0000,0.0000
105,7.000000,15,0.0000,0.0000,-0.4737,0.0000,0.0000,3.3858,0.0000,0.0000,-56.1993,-1.7725,0.0000,0.0000,-4.7438,1.2585,2.7741,0.0086,1.7854,0.0690,-8.5532,22.0213,-10.3707,-2.4412,3.2881,-45.4988,65.0624,-13.1739,-4.8396,14.3157,18.7566,22.4206,-354.7573,-9.5599,17.7050,0.9465,0.0000,0.0000
106,7.066667,15,0.0000,0.0000,-1.7082,0.0000,0.0000,1.7037,0.0000,0.0000,-54.9393,-3.9784,0.0000,0.0000,-4.4124,2.5919,15.4271,0.0099,1.8657,0.0446,1.1864,18.3271,-13.4106,0.6132,1.7254,-54.9233,59.8721,-28.4979,-6.6736,11.6762,36.0077,13.8042,3.8853,-11.6861,10.0703,17.6924,0.0000,0.0000
107,7.133333,15,0.0000,0.0000,-1.7426,0.0000,0.0000,1.7098,0.0000,0.0000,-54.8051,-3.9879,0.0000,0.0000,-4.3937,2.5705,26.8285,0.0011,0.0453,0.0536,-6.3923,17.1028,-22.1313,-2.4369,1.6245,-47.3806,66.4266,-11.0414,-3.6504,12.9361,26.8358,17.7928,-355.4889,-9.1008,17.8019,13.6143,0.0000,0.0000
108,7.200000,15,0.0000,0.0000,3.4076,0.0000,0.0000,3.3833,0.0000,0.0000,-55.4131,-1.8150,0.0000,0.0000,-4.7521,1.2638,37.7967,0.0136,0.0372,0.0744,0.1300,22.7767,-19.1115,2.0180,3.4553,-43.5079,72.9107,-5.9233,-2.4333,11.5845,25.4530,19.7796,-355.5309,-8.3885,14.2620,8.7315,0.0000,0.0000
109,7.266667,15,0.0000,0.0000,-0.6364,0.0000,0.0000,3.2768,0.0000,0.0000,-55.4284,-1.9255,0.0000,0.0000,-4.7752,1.3759,32.0427,0.0139,0.0118,0.0769,-0.5274,16.8631,-6.9977,-0.5316,3.2581,-39.3414,69.4317,-6.6047,-1.6647,12.2192,13.3476,21.8828,-355.2151,-6.5463,13.7921,1.7991,0.0000,0.0000
110,7.333333,15,0.0000,0.0000,3.4975,0.0000,0.0000,3.3957,0.0000,0.0000,-55.5039,-1.7847,0.0000,0.0000,-4.7524,1.2398,37.9820,0.0215,1.9802,0.0897,-10.7913,23.6400,-21.2759,-1.1105,3.3505,-41.3770,68.9896,-6.2770,-2.6244,16.1055,19.0244,21.1255,-355.1875,-4.0886,13.0525,8.5077,0.0000,0.0000
111,7.400000,15,0.0000,0.0000,-2.2398,0.0000,0.0000,1.6620,0.0000,0.0000,-44.4741,-9.3261,0.0000,0.0000,-4.4043,2.6266,42.8842,0.0180,1.9265,0.0693,-18.2604,28.3909,-29.0218,-6.4058,1.4364,-53.0175,53.7213,-17.5530,-5.2762,18.5661,26.7498,18.5198,-355.3238,-5.7663,9.5256,15.8390,0.0000,0.0000
112,7.466667,15,0.0000,0.0000,-0.5718,0.0000,0.0000,3.2948,0.0000,0.0000,-43.9525,-6.7844,0.0000,0.0000,-4.8000,1.3877,44.6373,0.0476,3.1991,0.1405,-16.7634,22.6037,-22.0645,-3.5257,3.1582,-43.9789,60.0309,-10.5717,-1.4952,12.9742,20.0944,21.2739,-355.4554,-5.4105,8.9002,11.0466,0.0000,0.0000
113,7.533333,15,0.0000,0.0000,-0.4681,0.0000,0.0000,3.3768,0.0000,0.0000,-44.0277,-6.6850,0.0000,0.0000,-4.7587,1.2890,51.4842,0.0213,1.8290,0.0042,-3.9115,20.0801,-10.2368,-0.9520,3.3386,-43.9837,64.4073,-8.7414,-0.8677,9.2680,22.6416,20.6366,-355.6477,-7.9342,8.8858,6.4781,0.0000,0.0000
114,7.600000,15,0.0000,0.0000,-0.6131,0.0000,0.0000,3.2789,0.0000,0.0000,-44.0075,-6.7805,0.0000,0.0000,-4.7837,1.3727,51.5268,0.0313,1.8136,0.0876,0.0500,22.8254,-33.5929,-2.0443,3.2019,-51.5373,54.1835,-21.0463,-4.3608,12.2018,26.0489,20.8641,-355.3859,-10.5500,3.1421,8.9582,0.0000,0.0000
115,7.666667,15,0.0000,0.0000,3.3635,0.0000,0.0000,3.2872,0.0000,0.0000,-44.0288,-6.7804,0.0000,0.0000,-4.7845,1.3673,51.4660,0.0499,3.1842,0.0554,-15.1521,28.7301,-18.1751,-3.5608,3.1491,-47.8651,60.6127,-10.6453,-3.1002,14.2848,23.7556,20.9087,-355.3388,-6.9027,9.4332,9.0613,0.0000,0.0000
116,7.733333,15,0.0000,0.0000,-0.5898,0.0000,0.0000,3.2922,0.0000,0.0000,-44.0492,-6.7562,0.0000,0.0000,-4.7620,1.3611,51.5218,0.0044,3.2214,0.0580,-7.0049,28.5688,-27.9978,-3.5267,3.1554,-56.5774,48.1312,-24.4449,-7.4673,16.3602,33.3148,17.1285,4.0869,-11.0991,2.9781,17.6842,0.0000,0.0000
117,7.800000,15,0.0000,0.0000,-0.5317,0.0000,0.0000,3.3659,0.0000,0.0000,-56.1239,-1.7918,0.0000,0.0000,-4.7209,1.2632,37.2706,0.0041,1.8383,0.0058,-2.2546,24.6009,-31.1219,-1.1141,3.3214,-53.0472,66.2217,-14.9041,-7.3823,17.0741,29.9922,19.1148,-355.5464,-10.3954,14.7676,11.6415,0.0000,0.0000
118,7.866667,15,0.0000,0.0000,-0.5763,0.0000,0.0000,3.2774,0.0000,0.0000,-55.9716,-1.9093,0.0000,0.0000,-4.7438,1.3715,44.8379,0.0055,1.9347,0.0189,-17.0203,6.4297,9.6595,-4.9725,3.0826,-20.7085,68.8407,11.1319,4.5620,19.0569,-18.8997,12.3307,0.6177,9.1083,10.9207,25.5152,0.0000,0.0000
119,7.933333,15,0.0000,0.0000,-2.1655,0.0000,0.0000,1.7088,0.0000,0.0000,-54.5942,-3.8966,0.0000,0.0000,-4.3774,2.5736,109.4158,0.0340,0.0083,0.0340,16.2793,13.3269,-31.3882,5.1248,1.8808,-45.4513,77.0763,-6.2960,-0.2049,6.9836,31.0389,16.3560,-355.8476,-8.1258,122.1637,11.2453,0.0000,0.0000
120,8.000000,15,0.0000,0.0000,-2.1495,0.0000,0.0000,1.7078,0.0000,0.0000,-43.7414,-3.8017,0.0000,0.0000,-4.2737,2.5093,34.9211,0.0583,0.0821,0.1160,-7.3805,8.2486,-16.7389,-2.4431,1.6224,-24.4718,64.0234,3.1704,4.3330,10.0671,-4.8946,14.7963,1.5201,2.1066,8.7775,17.1763,0.0000,0.0000
121,8.066667,15,0.0000,0.0000,-2.3413,0.0000,0.0000,1.6390,0.0000,0.0000,-29.5484,1.4020,0.0000,0.0000,-4.2095,2.5228,18.8320,0.0391,0.0330,0.0319,-6.0542,20.4427,-35.4115,-3.3607,1.5233,-46.7171,35.8421,-12.7295,-3.9887,16.5977,23.0944,19.0903,-354.8503,-10.6016,3.5702,8.9979,0.0000,0.0000
122,8.133333,15,0.0000,0.0000,-2.2684,0.0000,0.0000,1.6401,0.0000,0.0000,-25.7249,1.4738,0.0000,0.0000,-4.1818,2.4726,16.7896,0.0332,3.2279,0.0668,10.5993,16.1259,-26.3067,2.4384,1.7250,-48.9477,13.7366,-17.5193,-0.7484,13.7940,34.2311,14.7426,4.0292,-10.0732,14.4033,17.4270,0.0000,0.0000
123,8.200000,15,0.0000,0.0000,-2.3887,0.0000,0.0000,1.6218,0.0000,0.0000,-16.7893,1.4720,0.0000,0.0000,-4.1588,2.4661,9.3987,0.0410,3.2511,0.0757,-12.5109,19.6105,-23.8774,-2.0951,1.5506,-42.9920,16.3151,-7.0810,-0.7792,16.4397,23.5998,18.1062,-355.1558,-7.8925,6.1063,6.7905,0.0000,0.0000
124,8.266667,15,0.0000,0.0000,-2.3613,0.0000,0.0000,1.6264,0.0000,0.0000,-12.0834,1.4726,0.0000,0.0000,-4.1593,2.4606,9.2610,0.0414,1.4314,0.0612,-0.3213,7.9923,-2.2899,0.8831,1.6578,-23.5506,33.4983,5.0657,1.3603,4.8891,14.7746,14.7134,3.5746,-6.1085,0.8522,1.0510,0.0000,0.0000
125,8.333333,15,0.0000,0.0000,-2.3422,0.0000,0.0000,1.6120,0.0000,0.0000,-8.3529,1.4926,0.0000,0.0000,-4.1324,2.4370,5.4301,0.0382,3.2598,0.0941,10.6477,11.7766,-32.7975,3.9377,1.7461,-34.6863,30.8768,2.2773,-0.0333,4.2638,33.9931,14.6132,4.1170,-10.6163,7.3862,11.9890,0.0000,0.0000
126,8.400000,15,0.0000,0.0000,-0.0052,0.0000,0.0000,0.0044,0.0000,0.0000,-0.2009,-0.1021,0.0000,0.0000,0.1354,0.0438,2.5974,0.2546,0.1587,0.0931,-10.0430,0.8076,-7.9544,-2.0536,-0.0644,-21.0986,18.2407,9.7167,0.9448,3.6889,12.0464,11.8861,3.4093,-6.3587,16.7922,1.4141,0.0000,0.0000
127,8.466667,15,0.0000,0.0000,0.0027,0.0000,0.0000,0.0141,0.0000,0.0000,-0.1416,-0.0724,0.0000,0.0000,0.1782,0.0369,2.6214,0.2543,1.8245,0.0227,-3.9037,4.4827,-5.9623,0.9289,0.0046,-27.4427,11.6289,6.7517,0.4108,4.5493,21.2006,13.6134,-355.8496,-9.2174,15.6314,6.6032,0.0000,0.0000
128,8.533333,15,0.0000,0.0000,0.0175,0.0000,0.0000,0.0102,0.0000,0.0000,-0.0294,-0.0927,0.0000,0.0000,-0.1598,0.0505,2.7117,0.0741,0.1765,0.1307,-4.6143,-0.9930,3.0403,-0.5949,-0.0467,-17.0073,-6.1227,2.2194,-0.1517,8.5490,-0.8417,9.4631,2.4098,-0.9324,5.9935,11.3372,0.0000,0.0000
129,8.600000,15,0.0000,0.0000,0.0714,0.0000,0.0000,0.0091,0.0000,0.0000,0.0529,-0.0752,0.0000,0.0000,0.1537,0.0430,0.3104,0.2362,0.1471,0.1041,-2.7244,-1.9251,5.1649,0.8745,-0.0025,-14.7513,-3.6608,2.2559,-0.0547,3.4181,3.9192,8.6599,2.4726,-4.1859,8.3356,11.3345,0.0000,0.0000
