frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
14,0.933333,15,0.0000,0.0000,0.1991,0.0000,0.0000,0.0175,0.0000,0.0000,0.0851,0.0057,0.0000,0.0000,-3.9307,3.7005,0.0655,0.3457,0.0091,0.0032,-10.3449,-2.5366,-16.3547,-6.4306,-0.1778,-3.1335,-20.5943,-7.8210,-4.8158,4.4877,-5.6234,0.0944,-3.1014,10.0591,10.1228,1.9354,0.0000,0.0000
15,1.000000,15,0.0000,0.0000,0.2340,0.0000,0.0000,0.0293,0.0000,0.0000,0.0308,0.0419,0.0000,0.0000,-3.8920,3.6650,0.2014,0.1846,1.7802,0.0055,-6.9044,4.8999,-25.5880,-5.4710,-0.1376,-13.7987,-40.1260,-4.1864,-5.2502,6.5715,2.3745,8.0797,0.3617,4.9434,22.7171,5.7662,0.0000,0.0000
16,1.066667,15,0.0000,0.0000,0.1884,0.0000,0.0000,0.0186,0.0000,0.0000,0.0286,0.0387,0.0000,0.0000,-3.8609,3.6750,0.1987,0.1142,1.7805,0.0555,-6.9433,-0.8635,-5.1501,-2.6625,-0.0617,-4.0177,-8.0971,-2.7298,-1.6878,0.9006,0.1198,2.4425,-1.0806,4.9898,2.0994,4.5404,0.0000,0.0000
17,1.133333,15,0.0000,0.0000,0.1851,0.0000,0.0000,0.0100,0.0000,0.0000,0.1035,0.0095,0.0000,0.0000,-3.8665,3.6852,0.2897,0.1475,0.0127,0.0023,-12.3616,3.5361,-13.2858,-3.7261,-0.1022,-13.5736,-29.9059,-3.3294,-3.8411,5.0245,9.6566,9.1266,1.3432,3.3645,14.1045,5.9007,0.0000,0.0000
18,1.200000,15,0.0000,0.0000,0.2194,0.0000,0.0000,0.0154,0.0000,0.0000,0.0424,0.0271,0.0000,0.0000,-3.9027,3.6755,2.9963,0.2058,1.7407,0.0032,-15.2286,0.6625,-9.3198,-6.9324,-0.1953,-10.0411,-28.4988,-5.5439,-5.0081,0.6969,6.5248,6.9374,-0.0136,4.1688,5.8143,8.2403,0.0000,0.0000
19,1.266667,15,0.0000,0.0000,0.2333,0.0000,0.0000,0.0196,0.0000,0.0000,0.0237,0.0435,0.0000,0.0000,-3.8642,3.6732,3.0035,0.1339,3.0991,0.0077,-3.7707,2.3711,-19.7285,-2.6608,-0.0605,-7.7629,-22.5165,-5.4726,-3.7228,3.7057,5.2874,5.8195,0.1723,4.9892,1.6243,8.4708,0.0000,0.0000
20,1.333333,15,0.0000,0.0000,0.2128,0.0000,0.0000,0.0129,0.0000,0.0000,0.0523,0.0202,0.0000,0.0000,-3.8892,3.6831,0.2342,0.1500,3.1622,0.0379,-7.5066,-4.1106,-12.9224,-4.1675,-0.1132,0.9821,-9.7705,-5.8748,-2.5420,-1.1169,-5.6713,-2.6089,-3.2280,7.3533,8.7927,14.6049,0.0000,0.0000
21,1.400000,15,0.0000,0.0000,0.2424,0.0000,0.0000,0.0237,0.0000,0.0000,0.0597,0.0178,0.0000,0.0000,-3.8853,3.6899,0.1990,0.1427,1.6924,0.0580,-12.2265,-6.0338,-13.8062,-5.4974,-0.1437,0.9733,0.6849,0.0093,-0.2790,-4.0452,3.0599,0.5855,-2.0925,6.0779,7.6113,3.1469,0.0000,0.0000
22,1.466667,15,0.0000,0.0000,0.2286,0.0000,0.0000,0.0046,0.0000,0.0000,0.0654,0.0233,0.0000,0.0000,-3.8706,3.6904,0.2492,0.1229,0.0726,0.0592,-3.5452,1.2526,-18.0766,-2.6593,-0.0748,-5.5329,-12.1505,-3.5858,-2.2900,-1.4109,7.8612,5.4984,0.2241,2.0028,4.8061,0.7068,0.0000,0.0000
23,1.533333,15,0.0000,0.0000,0.2359,0.0000,0.0000,0.0131,0.0000,0.0000,0.0726,0.0197,0.0000,0.0000,-3.8509,3.6801,0.2336,0.1288,0.0508,0.0386,-7.8012,-3.1954,-8.2096,-4.1678,-0.1131,-0.6192,-13.7775,-6.7577,-3.2794,-1.1171,1.6207,0.9620,-1.7527,6.5037,9.2611,1.8265,0.0000,0.0000
24,1.600000,15,0.0000,0.0000,0.2081,0.0000,0.0000,0.0079,0.0000,0.0000,0.0437,0.0329,0.0000,0.0000,-3.8662,3.6793,0.2246,0.1202,0.0141,0.0173,-10.0452,0.5125,-14.4555,-5.5001,-0.1591,-7.7702,-9.7487,-1.6380,-1.9492,-2.9722,13.6695,7.7185,0.9438,1.2019,8.7202,11.1237,0.0000,0.0000
25,1.666667,15,0.0000,0.0000,0.2273,0.0000,0.0000,0.0029,0.0000,0.0000,0.0543,0.0108,0.0000,0.0000,-4.2128,3.7047,0.2098,0.3113,0.0060,0.0118,-18.1352,-8.8242,-14.7015,-8.3612,-0.2549,1.7133,-7.2008,-4.8120,-2.4266,-1.6434,-13.1092,-5.4727,-6.1676,11.1100,5.5146,14.9047,0.0000,0.0000
26,1.733333,15,0.0000,0.0000,0.2049,0.0000,0.0000,0.0070,0.0000,0.0000,0.0735,0.0243,0.0000,0.0000,-3.8681,3.6782,0.2332,0.1456,1.7480,0.1076,-3.5751,-2.5113,-12.0564,-3.5484,-0.0999,1.2138,-12.1384,-7.0673,-3.0090,-3.7036,2.3668,0.2783,-1.7352,4.3073,17.2945,1.8121,0.0000,0.0000
27,1.800000,15,0.0000,0.0000,0.2341,0.0000,0.0000,0.0047,0.0000,0.0000,0.0837,0.0097,0.0000,0.0000,-3.8849,3.6899,0.1371,0.1640,0.0225,0.0648,23.1905,11.0624,-4.9831,3.6806,0.1235,-1.4830,2.3258,1.0890,0.2191,0.9545,3.8910,2.5931,0.5252,0.5729,2.1743,4.2221,0.0000,0.0000
28,1.866667,15,0.0000,0.0000,0.2304,0.0000,0.0000,0.0088,0.0000,0.0000,0.0199,0.0438,0.0000,0.0000,0.1949,-0.0494,0.2032,0.2211,0.0099,0.0674,16.3881,8.4948,-8.8895,3.4905,0.1214,-4.9082,-2.5171,-0.2020,-0.1574,2.0761,6.7563,4.8772,1.9872,-2.9440,2.0089,0.9591,0.0000,0.0000
29,1.933333,15,0.0000,0.0000,0.2432,0.0000,0.0000,0.0085,0.0000,0.0000,0.0651,0.0244,0.0000,0.0000,0.1638,-0.0459,0.2459,0.1971,0.0114,0.0541,-0.2230,-1.6667,3.4138,-3.9810,-0.1117,2.6902,-11.2331,-7.5023,-2.5168,0.2970,-6.0506,-4.2223,-2.3834,5.6830,8.7826,7.4776,0.0000,0.0000
30,2.000000,15,0.0000,0.0000,0.2253,0.0000,0.0000,0.0015,0.0000,0.0000,0.0606,0.0050,0.0000,0.0000,-3.8331,3.6740,0.2089,0.0932,0.0263,0.0068,13.7074,8.8054,-8.0200,0.5943,0.0203,-11.1503,-20.8648,-3.1101,-2.5414,2.2559,8.2278,8.1228,1.4084,0.3146,17.7099,1.7506,0.0000,0.0000
31,2.066667,15,0.0000,0.0000,0.2058,0.0000,0.0000,0.0027,0.0000,0.0000,0.0709,0.0013,0.0000,0.0000,-3.8486,3.6915,0.0905,0.0776,0.0255,0.0234,7.4162,4.0526,-8.1855,-2.4658,-0.0758,-2.3029,-12.8948,-5.4886,-2.6996,-0.2466,-4.3637,-0.0118,-1.9478,4.8531,15.9004,11.8947,0.0000,0.0000
32,2.133333,15,0.0000,0.0000,0.2455,0.0000,0.0000,0.0091,0.0000,0.0000,0.0674,0.0190,0.0000,0.0000,-3.8563,3.6792,0.0884,0.2454,3.1609,0.0194,-12.0090,-6.9265,9.9479,-5.6473,-0.1622,2.3762,-1.4741,-1.8928,-0.8181,-1.8802,-4.3984,-3.1405,-3.7464,8.8883,7.4622,2.2305,0.0000,0.0000
33,2.200000,15,0.0000,0.0000,0.2331,0.0000,0.0000,0.0016,0.0000,0.0000,0.0696,0.0087,0.0000,0.0000,-3.8144,3.6824,0.2237,0.0483,0.0380,0.0331,-4.1403,5.2166,10.3114,-2.6673,-0.0811,-13.3713,-9.5767,0.4951,-1.2450,2.1548,7.8566,8.7788,1.2390,0.8303,3.1350,0.6591,0.0000,0.0000
34,2.266667,15,0.0000,0.0000,0.2417,0.0000,0.0000,0.0013,0.0000,0.0000,0.1014,-0.0187,0.0000,0.0000,-3.8915,3.7282,0.2457,0.0874,1.7491,0.0573,-16.3414,-3.7426,4.6874,-5.4984,-0.1677,-4.3001,-14.1128,-4.9065,-3.1443,-0.4102,-2.7048,1.6454,-2.1703,6.1156,4.4901,9.7257,0.0000,0.0000
35,2.333333,15,0.0000,0.0000,0.2019,0.0000,0.0000,0.0100,0.0000,0.0000,0.0594,-0.0007,0.0000,0.0000,-4.2093,3.7046,0.2088,0.2982,3.1700,0.0089,-22.1647,3.3246,-3.7913,-6.9507,-0.2198,-15.6683,-11.9393,0.9627,-1.6048,-3.8200,21.6779,11.3251,2.7367,-4.6344,5.7234,16.4491,0.0000,0.0000
36,2.400000,15,0.0000,0.0000,0.2019,0.0000,0.0000,0.0094,0.0000,0.0000,0.0529,0.0071,0.0000,0.0000,-0.1541,-0.0054,0.0947,0.0870,0.0089,0.0066,-18.1536,-1.9916,2.0792,-6.9296,-0.2184,-7.3981,-14.1322,-3.3305,-2.2994,-2.4591,3.7837,5.0188,0.1409,-0.5744,5.0867,3.2218,0.0000,0.0000
37,2.466667,15,0.0000,0.0000,0.1662,0.0000,0.0000,0.0181,0.0000,0.0000,0.0152,0.0109,0.0000,0.0000,0.1252,0.0113,0.1832,0.2073,3.1742,0.0500,-11.4825,-8.2327,-5.1370,-5.4946,-0.1836,4.4102,-2.9303,-3.8387,-1.0332,-2.9931,-7.5512,-6.0651,-3.5229,5.8184,0.1371,18.2947,0.0000,0.0000
38,2.533333,15,0.0000,0.0000,0.1796,0.0000,0.0000,0.0094,0.0000,0.0000,0.0577,0.0222,0.0000,0.0000,-3.8424,3.6888,0.2400,0.0891,3.1378,0.0238,-11.2213,4.8448,-12.7902,-2.6619,-0.0889,-15.3482,-23.5606,-1.4894,-2.6425,-0.3425,19.5405,11.0568,2.6953,-2.8492,11.6889,11.3304,0.0000,0.0000
