frame,time_qtm_s,time_rs_s,torso_alpha_deg,torso_beta_deg,torso_gamma_deg,neck_alpha_deg,neck_beta_deg,neck_gamma_deg,shoulderR_alpha_deg,shoulderR_beta_deg,shoulderR_gamma_deg,elbowR_deg
34,0.33,25.957,0.569141802323675,0.551990855062003,-174.643350665959,99.5744072614943,12.6867983465808,-5.27896212306336,3.27601668320314,7.4645084121616,-41.2549858819141,156.254975887517
35,0.34,25.967,0.540642470239796,0.54727969579987,-174.633566291345,99.5698527349889,12.64502921676,-5.2591176110729,3.24443437752937,7.4628548136204,-41.279514368944,156.284772825992
36,0.35,25.977,0.521843668839885,0.537630597248505,-174.634018554726,99.5588371303736,12.6328646763786,-5.2609048124583,3.22936388025555,7.45699017781,-41.3406078371268,156.303737472994
37,0.36,25.987,0.497233948798032,0.537403522927982,-174.656438016413,99.551913548679,12.6372284610955,-5.25989164628167,3.23986942328122,7.47289043244232,-41.2919792888006,156.290873275941
38,0.37,25.997,0.460514433020977,0.533788348499074,-174.660740900926,99.581580132968,12.629118549394,-5.27447598698642,3.21421732225384,7.48056027321439,-41.3207808289159,156.274530026875
39,0.38,26.007,0.421899077750454,0.517279612769125,-174.671720429614,99.5960957310871,12.6317593603548,-5.25298602476539,3.19455909432186,7.47874335130679,-41.338341764637,156.305298603844
40,0.39,26.017,0.387965009069665,0.523899978944143,-174.671871261232,99.6172402497256,12.636412932409,-5.27632966023596,3.16400522333166,7.48567002116672,-41.3382841297452,156.277902260204
41,0.4,26.027,0.371483088894385,0.527396814677603,-174.676590440861,99.617755688007,12.6271465478671,-5.31849219359566,3.14755132560478,7.48365834532055,-41.4002170098686,156.315931645904
42,0.41,26.037,0.32549167312118,0.512428340081362,-174.694525963004,99.6274698171612,12.6345070050255,-5.3214990398988,3.13748969020355,7.48512059986278,-41.333376493541,156.276588446259
43,0.42,26.047,0.294049336592097,0.513663133216869,-174.680990028688,99.6078012373406,12.634274651104,-5.33378113929288,3.11784267709149,7.49083498835991,-41.3962057620999,156.278049782205
44,0.43,26.057,0.26678320711387,0.505396815662766,-174.678687484501,99.582950521845,12.6339297566476,-5.32032346949711,3.10947514724366,7.48638631629592,-41.4165503199538,156.264351805582
45,0.44,26.067,0.24223040026835,0.493653249395832,-174.69288934182,99.5481425653493,12.6405419856415,-5.31880993001772,3.11608648728865,7.48066741039646,-41.4030478793172,156.273797957169
46,0.45,26.077,0.234030124296855,0.497391149116767,-174.669229162706,99.5038905924968,12.6332757199207,-5.31329176940524,3.11015248264874,7.48061286510772,-41.4286630450345,156.289446654651
47,0.46,26.087,0.199157056559018,0.485194478328684,-174.672331734916,99.5021288089004,12.6428400098246,-5.28313337562603,3.09802643180351,7.47666908694938,-41.3910560613201,156.27523149393
48,0.47,26.097,0.194357599648814,0.487111334582428,-174.654396279807,99.4762439702991,12.6067364467408,-5.29202257919543,3.09753696810208,7.47054371433377,-41.4807586690255,156.308246804143
49,0.48,26.107,0.172187135440883,0.481463318201765,-174.654599809927,99.4829237395458,12.6414265429582,-5.31204683244833,3.09513082584057,7.4686975912862,-41.4624303617606,156.263580643553
50,0.49,26.117,0.133922893796849,0.475698655286029,-174.657454261785,99.501603054992,12.6425710215995,-5.28973580682033,3.08838864183445,7.46153987204991,-41.4055058598943,156.259689850618
51,0.5,26.127,0.119902488323219,0.483176830376022,-174.649415946599,99.4890179071185,12.6641598810788,-5.2979145379698,3.0980577553903,7.47544485293475,-41.4082184000422,156.245556117235
52,0.51,26.137,0.103693824244453,0.484828733793742,-174.641105027039,99.4907016480017,12.6297751501604,-5.32273772587041,3.09746276751732,7.46760865860408,-41.3689687704857,156.23182161353
53,0.52,26.147,0.0718235265869811,0.483147255771273,-174.625597306164,99.474093356857,12.6318634129137,-5.30745706217797,3.08894676422159,7.46555639320596,-41.3813128584106,156.22058855504
54,0.53,26.157,0.0612371586910123,0.484062106133281,-174.613531160455,99.451587776347,12.6317321462641,-5.31721531204637,3.09362773014796,7.46248976718104,-41.3344654213299,156.244014402943
55,0.54,26.167,0.0442497694431211,0.487593491534101,-174.604932519506,99.4386354972595,12.6426260151645,-5.31924617918425,3.09105040834699,7.46062247183502,-41.4230307535502,156.246733492427
56,0.55,26.177,0.0195822165196154,0.489127692455962,-174.586780344699,99.4234128573583,12.6286972194071,-5.31131049175296,3.08562942673577,7.46247155826635,-41.386405388607,156.224333749117
57,0.56,26.187,0.0101380654340959,0.486154839139972,-174.57341778183,99.3961174823436,12.5724928290096,-5.27384822519298,3.10496614530788,7.4601159253212,-41.3927600391152,156.215145123142
58,0.57,26.197,0.00498621823925117,0.483793566469857,-174.552824829198,99.373170948318,12.5717450251903,-5.26107978055694,3.10270626126184,7.45735387269823,-41.397099988402,156.223409169796
59,0.58,26.207,-0.0305064580875343,0.48511339224136,-174.549519365832,99.401024094693,12.5636083122084,-5.2518380067573,3.08337784804022,7.45129139839116,-41.3938899868147,156.227227729797
60,0.59,26.217,-0.0376443410010466,0.486976565400815,-174.53732363297,99.3964569532155,12.5660235380246,-5.22782490976667,3.10616335388222,7.46072109760363,-41.3669108412562,156.209683461615
61,0.6,26.227,-0.0624097812867249,0.471582449669967,-174.516816679607,99.4031923030174,12.5713158835488,-5.20815385523329,3.07923439101534,7.44476454271561,-41.3967331184447,156.227863450631
62,0.61,26.237,-0.0793866032738097,0.477869387655212,-174.505282442497,99.4092713445037,12.5821043846456,-5.24672286657162,3.07320423053427,7.45218425382385,-41.4051392157396,156.231261986085
63,0.62,26.247,-0.0981662231003391,0.488336757535553,-174.49014094159,99.4190744012195,12.5801189159281,-5.22688998040717,3.05694381194401,7.46512481545509,-41.3895332264123,156.248583278282
64,0.63,26.257,-0.109051770137678,0.483096882552893,-174.487495892518,99.4020272704542,12.5913416264367,-5.22700187485329,3.06962597726743,7.46152429415821,-41.3343621617229,156.236544651015
65,0.64,26.267,-0.111363126360916,0.486400228482669,-174.483130742551,99.3934007594705,12.5683062212952,-5.22265514570216,3.07521364751106,7.47245557557767,-41.3857519175288,156.223619623374
66,0.65,26.277,-0.12412993141822,0.480941679673541,-174.470050698658,99.382311048211,12.573744175084,-5.2195247605059,3.06609244414505,7.47151986993941,-41.3819974610023,156.260184179202
67,0.66,26.287,-0.137257298132303,0.480561433082599,-174.477386411041,99.3870718106215,12.5750396196768,-5.22599482023212,3.08242550421652,7.48059768020434,-41.3530256726972,156.207654353369
68,0.67,26.297,-0.134823799283725,0.482146066693505,-174.464360253762,99.3704824266697,12.5639119958363,-5.20597687616399,3.0733559876478,7.47581842382813,-41.3817308856928,156.241972619636
69,0.68,26.307,-0.134650577425816,0.484209588564859,-174.459292693977,99.346292885668,12.5439696395741,-5.19814380783069,3.07199388834102,7.47217785260165,-41.3740020841033,156.23952244328
70,0.69,26.317,-0.162304217010278,0.49194731236345,-174.455514122617,99.3643838062836,12.5256417726854,-5.19877981802179,3.04193989553378,7.47984263353374,-41.3840457582987,156.242517414816
71,0.7,26.327,-0.178386604379682,0.495603484004505,-174.459686677969,99.3866834533861,12.5279852876297,-5.19267861730381,3.03937778028526,7.48842657037439,-41.366541796991,156.210398984569
72,0.71,26.337,-0.187893720647809,0.477297885333344,-174.444426242506,99.3888283846731,12.4929704296654,-5.17704546093148,3.02141673878493,7.47084616466956,-41.3396311633901,156.202275895233
73,0.72,26.347,-0.191227686795929,0.48178536314964,-174.472874325011,99.4075320112602,12.5171023406973,-5.18962280460222,3.04844672932923,7.48588484688769,-41.3094116524246,156.186217688185
74,0.73,26.357,-0.218030335059528,0.484599526905277,-174.450352494131,99.4222153285764,12.4911542900093,-5.18112020745182,3.00200142853576,7.48031202029507,-41.3381143151127,156.199105970579
75,0.74,26.367,-0.216550150292922,0.476480263573,-174.45287136022,99.3924619712166,12.4711371887952,-5.16736666317728,3.00504659160727,7.47267619939354,-41.3351470650599,156.219066562757
76,0.75,26.377,-0.200878095135537,0.47326444511005,-174.464402463783,99.3594031822513,12.4587647534921,-5.15937719027383,3.02466580292162,7.47264178030661,-41.3738233739136,156.207123525854
77,0.76,26.387,-0.204157412179188,0.464452727121071,-174.455640413429,99.3429012104303,12.4424059558588,-5.13007392482437,3.01543052932455,7.46305512944371,-41.3337465447953,156.210477743617
78,0.77,26.397,-0.214278682516016,0.454725572746859,-174.444463096305,99.3323337399396,12.4193281109987,-5.13394207138,2.99403664121384,7.4555204474705,-41.3365293601168,156.20814077156
79,0.78,26.407,-0.193739513992229,0.446644128980779,-174.46062138899,99.2987094920661,12.4440623140119,-5.13441098505975,3.02728957278717,7.45069898580781,-41.333306993261,156.199629917672
80,0.79,26.417,-0.185304510568921,0.454671748371947,-174.458037550799,99.2862166111881,12.4286064155167,-5.17272729648531,3.03419868815201,7.45860880050811,-41.3625091559822,156.197080666587
81,0.8,26.427,-0.19693116208924,0.43856843715119,-174.482165572075,99.3109637510252,12.4368467331059,-5.15106303135405,3.03483129386897,7.45428084758171,-41.3136571883131,156.195633460223
82,0.81,26.437,-0.190075287970681,0.437037490855382,-174.462235283381,99.3145026497176,12.4281887232863,-5.16345939296443,3.03199819049022,7.4529621106086,-41.3199548136528,156.177889621289
83,0.82,26.447,-0.208462705207309,0.432588511930183,-174.478747961132,99.3507561038064,12.4548407083001,-5.19682181653753,3.02319409805546,7.4524812471275,-41.2855707818554,156.163467475315
84,0.83,26.457,-0.202345310400185,0.428504965618185,-174.469034406885,99.3509233160021,12.4251728977281,-5.22351511462976,3.02889376836654,7.45419166574856,-41.2945143231421,156.161237925316
85,0.84,26.467,-0.199770172807964,0.43910421910927,-174.482661362082,99.3674185447659,12.4402112960539,-5.24636814633172,3.04912389659074,7.4767594268997,-41.2730294802905,156.113944810609
86,0.85,26.477,-0.207651956913866,0.439166939272235,-174.465995137278,99.3831009590858,12.4205217885484,-5.24985273495726,3.0237814971635,7.46735942046035,-41.3052482217457,156.144810558701
87,0.86,26.487,-0.207627438731131,0.428709493411415,-174.472446609996,99.3724875244036,12.4298957927937,-5.24083036395479,3.0451519364749,7.47269809664444,-41.2799394587655,156.126098826065
88,0.87,26.497,-0.222807503620729,0.425862376034131,-174.469776649666,99.3753982874836,12.3861083040896,-5.25692778836289,3.03216436385087,7.46415225188799,-41.3039227209797,156.126520359036
89,0.88,26.507,-0.212945423995552,0.4426253870533,-174.465749647753,99.3572321548201,12.393833924607,-5.25624896720677,3.03214571007758,7.48608493605947,-41.3195589838371,156.135506041317
90,0.89,26.517,-0.224670016908989,0.427429138520517,-174.461380714449,99.3470959708454,12.3484055168463,-5.23265720573503,3.02406989868797,7.47826508180333,-41.3326703406913,156.155870113751
91,0.9,26.527,-0.213301166175312,0.432122707448012,-174.471655236465,99.3142275072947,12.3410453577698,-5.21822740127186,3.026211331493,7.47828053839094,-41.2852925334412,156.176606634608
92,0.91,26.537,-0.195760999380086,0.430835779060975,-174.479769899049,99.2988539893043,12.3622653456029,-5.2071854179268,3.05836945080158,7.49436114369481,-41.2957852272502,156.166895909846
93,0.92,26.547,-0.20911426131991,0.424260042084746,-174.493945105556,99.3101475663364,12.3764991138391,-5.1944268116217,3.05202707504395,7.48570455953516,-41.3006812787604,156.149737246357
94,0.93,26.557,-0.192496644551713,0.430112474387296,-174.497725309682,99.2959848581755,12.3899806129688,-5.19401156761389,3.06762360665612,7.50037201066836,-41.2735993727798,156.156739636529
95,0.94,26.567,-0.194088449923856,0.41964602938553,-174.480994660198,99.291913014679,12.3969926218279,-5.19559774121828,3.04457834569969,7.48663746421698,-41.2908330422884,156.173130721215
96,0.95,26.577,-0.207325076859959,0.42055041345809,-174.493895376708,99.3141028038826,12.4251075113535,-5.18243610000308,3.04005076052327,7.49108167908628,-41.2425450225419,156.159359747438
97,0.96,26.587,-0.209482339574138,0.409026943382297,-174.485660623733,99.3117707939686,12.4244974919261,-5.17490480742895,3.03288771453247,7.47773231664042,-41.2438477971922,156.169121723897
98,0.97,26.597,-0.203566587018533,0.409595132793586,-174.49158389436,99.3096252328129,12.4369893861053,-5.20459542302888,3.05061680424149,7.48072778310764,-41.2121144228875,156.125680286966
99,0.98,26.607,-0.20778986719248,0.41689772509381,-174.48472190656,99.3214096736993,12.4267588265801,-5.20570831451189,3.03739325952456,7.4899220811907,-41.2594864158092,156.135076103635
100,0.99,26.617,-0.214058064999066,0.403146406467864,-174.479547403415,99.3164130580015,12.429230981274,-5.18053074974705,3.03317891207095,7.47344196882907,-41.251670777062,156.125550295567
101,1,26.627,-0.196284916293359,0.407630295084527,-174.46508937808,99.3058187323935,12.3989442048977,-5.18230109258815,3.02834716444296,7.48523421754054,-41.275573676253,156.143214142175
102,1.01,26.637,-0.198144481731337,0.396319786170539,-174.458666559836,99.3114774233577,12.3703795463487,-5.1965371153439,3.01446201924199,7.47823013923237,-41.3031357274341,156.148819490647
103,1.02,26.647,-0.185743915792014,0.410506968250548,-174.459414270601,99.3117272681554,12.3683715547828,-5.19363382993049,3.03326921249575,7.50549483389596,-41.2872844589655,156.136525055226
104,1.03,26.657,-0.191881839376299,0.400725070842775,-174.459469291431,99.324281803849,12.3639832893238,-5.19459406965331,3.02014469579284,7.49529423411852,-41.2551922987421,156.130346414339
105,1.04,26.667,-0.190282613706143,0.40885505503482,-174.46362673568,99.3238041120062,12.3639036723553,-5.19415995482492,3.02371887126488,7.49723983970498,-41.2721169553637,156.127193471808
106,1.05,26.677,-0.200155610904164,0.390986649960622,-174.474478254607,99.3425471312424,12.3908929398894,-5.18647634780018,3.01745905764469,7.48362205429934,-41.2625534296276,156.146203418668
107,1.06,26.687,-0.187919137919708,0.400271856967941,-174.46346965873,99.335546890856,12.3812494720284,-5.19145083790715,3.02852979185763,7.49693369722465,-41.2170821200594,156.121744050625
108,1.07,26.697,-0.206208590380669,0.402994721908129,-174.479960212564,99.3449896697548,12.3879302363889,-5.19507291528857,3.015139016524,7.4931428645707,-41.2243533324645,156.126351376704
109,1.08,26.707,-0.201101114525553,0.402298194107586,-174.492839146331,99.3244601936934,12.4224055966964,-5.1804338924298,3.02875321583161,7.49898895458173,-41.2428723427519,156.101092574147
110,1.09,26.717,-0.186284864928942,0.399195637512441,-174.503692418586,99.303037552252,12.4120864750024,-5.19859075912275,3.04753479181105,7.49607428601215,-41.2205233871289,156.134311177061
111,1.1,26.727,-0.190866902582432,0.39834803721172,-174.510814309961,99.2794641987704,12.4036384925345,-5.15525646393052,3.0448666948307,7.49240791226985,-41.2675466804331,156.141410580249
112,1.11,26.737,-0.189910275432423,0.400707921334344,-174.515552728636,99.2721475840474,12.3976087373039,-5.16668772793016,3.04328531682528,7.48544916232033,-41.2476476789722,156.149199745647
113,1.12,26.747,-0.191198584348274,0.404923714984916,-174.541458832117,99.2769479626339,12.4247622144171,-5.15306103580873,3.06836517465897,7.49525759571621,-41.2449200098436,156.110085475182
114,1.13,26.757,-0.196136052476508,0.402083270721715,-174.548011774836,99.2735668644633,12.3867170454537,-5.17653248547454,3.05465820149441,7.48319915566518,-41.2103590472996,156.13744843753
115,1.14,26.767,-0.189378832276456,0.414909237080338,-174.550823167391,99.2733592717801,12.3811642385954,-5.16238361239625,3.05146871092389,7.48277731308795,-41.2467002340051,156.153437333632
116,1.15,26.777,-0.18838884375388,0.423659036461989,-174.559228290948,99.284801539661,12.3869791475626,-5.15516580825175,3.05599987921938,7.49305086315678,-41.2130811983814,156.155752252328
117,1.16,26.787,-0.18381173756221,0.427527545325066,-174.563460286659,99.2919489752484,12.3773294922585,-5.16990569728683,3.04841574399084,7.48963360618447,-41.2106889149443,156.156000157535
118,1.17,26.797,-0.18054149477965,0.425850593049957,-174.55961150569,99.2884367896017,12.3462578256246,-5.18189282701237,3.05922166092126,7.49577604188151,-41.2031756641544,156.150475740358
119,1.18,26.807,-0.183353891289578,0.425373235552858,-174.566930876734,99.2783243522357,12.3316277574439,-5.16167064505727,3.05597817358113,7.48572037358814,-41.2292709413614,156.128173395681
120,1.19,26.817,-0.171216162550155,0.429485678625215,-174.578189090255,99.2671489957586,12.3337152682085,-5.18155372842737,3.07780045914532,7.48687757473591,-41.1948439396543,156.129720860008
121,1.2,26.827,-0.187094920587025,0.436359002230151,-174.592129975927,99.2797949905603,12.3195829092932,-5.18915892598487,3.06458143175566,7.49324715738442,-41.1973964761525,156.133384344296
122,1.21,26.837,-0.179753638996969,0.43986539895705,-174.585285140771,99.2674852613588,12.3015566822026,-5.20860888460815,3.06220761219635,7.49548508883423,-41.1920300521014,156.138937981648
123,1.22,26.847,-0.17246205292415,0.451538511194446,-174.588830734114,99.2617048844283,12.304053849474,-5.19930688077429,3.05785274370279,7.49827154622489,-41.2424349887155,156.149922899018
124,1.23,26.857,-0.179053902891954,0.441138975724079,-174.579486040505,99.2708544118273,12.2638712430369,-5.18425218242717,3.05173493894131,7.49210611731562,-41.2078512272986,156.13377264672
125,1.24,26.867,-0.180435297561107,0.445588874234835,-174.59822353997,99.2758086634435,12.2564216226245,-5.20428312592062,3.05677154233171,7.49472232158741,-41.2448840836238,156.124270948753
126,1.25,26.877,-0.163285157062109,0.44624964143163,-174.607317227533,99.2661292756439,12.3042616436164,-5.19322754745339,3.06786596874786,7.49270440635777,-41.2358415568503,156.137961141696
127,1.26,26.887,-0.163446008597566,0.465471803628184,-174.608101152114,99.2751689936162,12.2942589537458,-5.22124732858306,3.05952997830785,7.50935015458175,-41.2483286818585,156.135040123791
128,1.27,26.897,-0.161534533318209,0.457628390192283,-174.607892757939,99.2750771278913,12.2911220018047,-5.19795235085467,3.06019226853506,7.49604949689831,-41.2348210386844,156.141998070789
129,1.28,26.907,-0.162014797103498,0.467758536726898,-174.608645775569,99.2764442802938,12.2854950958743,-5.20958166924202,3.0465736132114,7.50896495609468,-41.2500313373276,156.136362304141
130,1.29,26.917,-0.162359635298832,0.473252417763225,-174.623643704584,99.2714313134472,12.3075305641526,-5.19423568219591,3.05178945772055,7.51322048021687,-41.2538019722103,156.144434922777
131,1.3,26.927,-0.130241590419866,0.459454100480366,-174.623582395821,99.236237580481,12.2971093560623,-5.19584737720087,3.08362329130306,7.49279249853851,-41.2456664515502,156.147311765058
132,1.31,26.937,-0.127707713845805,0.466807254460601,-174.62991721123,99.2287858276493,12.3119721446334,-5.17659604225068,3.08748302384066,7.49935533929473,-41.2070805012579,156.161423681485
133,1.32,26.947,-0.115688466499077,0.468907664469177,-174.63791127523,99.2258141526456,12.3139660134219,-5.18376532687851,3.10156145901948,7.51101610551356,-41.2254074367065,156.141872431288
134,1.33,26.957,-0.114009212160834,0.467540675494085,-174.623957874341,99.2184159950822,12.3220073973515,-5.17294327009518,3.06926463016566,7.48476621064066,-41.2664403589295,156.181975545956
135,1.34,26.967,-0.091022886361575,0.461703272878664,-174.651941166639,99.2014224819219,12.332746055315,-5.16050618400354,3.11574126332215,7.49665555877806,-41.228552871314,156.170938885012
136,1.35,26.977,-0.082880880113741,0.460514534933526,-174.667381924596,99.2119691498909,12.3655192742077,-5.15576514731616,3.12761871410231,7.48073378649187,-41.2159667430984,156.153853937577
137,1.36,26.987,-0.0761951003693138,0.460504492160012,-174.6624763859,99.224534225593,12.3674307839986,-5.16712517194459,3.11679414303998,7.46971343551709,-41.2553361878644,156.191170651577
138,1.37,26.997,-0.062629756766982,0.461503278723103,-174.678554593451,99.2212725229274,12.40209920763,-5.16952159002298,3.14968408618706,7.47531569511618,-41.2537179100109,156.17756410915
139,1.38,27.007,-0.0620217194352429,0.461011149768082,-174.684162906926,99.2228795946381,12.3907260276295,-5.17545365584194,3.13885855106848,7.4676263266105,-41.276377382885,156.186153031499
140,1.39,27.017,-0.0473931496758986,0.44897956327304,-174.680806682233,99.2039158776657,12.3781789866518,-5.1457754555908,3.14198253825702,7.45305525613305,-41.2805054985025,156.208967949207
141,1.4,27.027,-0.0306886015654727,0.451279550770133,-174.665772246864,99.1895096848133,12.3482433817331,-5.1467248820083,3.14112190172374,7.45150457665348,-41.3019748062383,156.196334130667
142,1.41,27.037,-0.0319542603735708,0.458301016761682,-174.670316327029,99.2029855744346,12.3371447017337,-5.14052086427031,3.13986148197962,7.45863351727509,-41.2990911971978,156.210900235834
143,1.42,27.047,-0.0195478988754459,0.450586369736359,-174.687103065658,99.1939782605883,12.3421217466417,-5.11844563146849,3.153374497307,7.45446769304048,-41.2776075128511,156.220958197741
144,1.43,27.057,0.00790812876230533,0.457249530516868,-174.682444009613,99.178678601475,12.3057694670521,-5.11615092462645,3.17662993473545,7.46215867113198,-41.2877108418284,156.201559244484
145,1.44,27.067,0.00787477056455599,0.4637049478351,-174.690966981835,99.1859096152855,12.3029536160415,-5.13722896024248,3.17900385764252,7.47933749447875,-41.2787168109763,156.203700892366
146,1.45,27.077,0.0136707262532129,0.462686733595747,-174.688140578933,99.1888378802422,12.3176646102233,-5.1147485883601,3.18164548878682,7.47380071722645,-41.2379150095997,156.190711826614
147,1.46,27.087,0.023681836222446,0.456814053095488,-174.680127828182,99.1859947590917,12.3133291131459,-5.12139184995092,3.1879980614446,7.47129092544359,-41.2556619036198,156.182041396695
148,1.47,27.097,0.0284662838720345,0.458572638050542,-174.699183091905,99.1972392112493,12.3187082070769,-5.11911240274625,3.20114578982746,7.47350905757756,-41.2996252624683,156.174484863581
149,1.48,27.107,0.038867781160839,0.455623302236492,-174.704238466267,99.1885566264594,12.3306979017649,-5.11004279215555,3.21356380675014,7.47280086764372,-41.2326784273465,156.181466826164
