Person_ID,Window_ID,Neck_alpha_2D,Neck_beta_2D,Neck_gamma_2D,Torso_alpha_2D,Torso_beta_2D,Torso_gamma_2D,Right_elbow_2D,Left_elbow_2D,Right_Knee_2D,Left_knee_2D,Right_shoulder_alpha_2D,Right_shoulder_beta_2D,Right_shoulder_gamma_2D,Right_shoulder_elevation_2D,Left_shoulder_alpha_2D,Left_shoulder_beta_2D,Left_shoulder_gamma_2D,Left_shoulder_elevation_2D,Neck_alpha_3D,Neck_beta_3D,Neck_gamma_3D,Torso_alpha_3D,Torso_beta_3D,Torso_gamma_3D,Right_elbow_3D,Left_elbow_3D,Right_Knee_3D,Left_knee_3D,Right_shoulder_alpha_3D,Right_shoulder_beta_3D,Right_shoulder_gamma_3D,Right_shoulder_elevation_3D,Left_shoulder_alpha_3D,Left_shoulder_beta_3D,Left_shoulder_gamma_3D,Left_shoulder_elevation_3D,Table_A_2D,Table_B_2D,Table_C_2D,Table_A_3D,Table_B_3D,Table_C_3D,REBA_2D,REBA_3D,Error
3,12,0.0,-12.63,126.81,0.0,-12.63,52.77,10.77,29.99,16.99,15.45,0.0,12.63,-382.47,0.02,0.0,12.63,-42.11,3.51,-8.21,2.13,-167.06,-4.1,9.94,14.79,10.77,29.99,16.99,15.45,7.83,25.16,-0.35,0.02,-13.91,-2.79,0.13,3.51,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
3,13,0.0,0.0,0.0,0.0,-10.3,171.77,114.65,76.52,89.47,102.15,-45.58,10.3,12.39,-24.6,51.92,10.3,291.54,29.31,0.0,0.0,0.0,-7.68,-48.94,98.58,114.65,76.52,89.47,102.15,10.16,73.34,12.79,-24.6,110.71,-35.19,26.78,29.31,3.0,4.0,3.0,5.0,2.0,4.0,0,1.0,-1.0
3,14,0.0,-2.38,-175.47,0.0,-2.38,-25.68,24.95,68.97,52.91,14.75,0.0,2.38,-336.25,-8.15,0.0,2.38,-16.43,15.04,-45.27,-24.62,-172.77,-30.64,-6.96,12.15,24.95,68.97,52.91,14.75,13.75,36.68,0.92,-8.15,25.67,-5.71,3.82,15.04,3.0,2.0,3.0,6.0,2.0,6.0,0,1.0,-1.0
3,15,68.95,7.19,-105.68,0.0,7.19,-107.82,33.38,62.55,116.47,121.67,-124.95,-7.19,-269.65,48.85,115.75,-7.19,76.74,-45.37,-53.9,-0.59,-46.39,-1.13,35.1,-133.06,33.38,62.55,116.47,121.67,-2.21,-49.32,161.37,48.85,98.94,-27.98,310.6,-45.37,6.0,4.0,7.0,7.0,2.0,7.0,2,2.0,0.0
3,16,0.0,-6.66,171.13,0.0,-6.66,25.78,6.56,41.52,22.29,10.67,0.0,6.66,23.84,-6.38,0.0,6.66,374.29,11.4,-34.11,34.57,-157.13,-1.23,-3.89,16.56,6.56,41.52,22.29,10.67,3.81,-5.81,-0.71,-6.38,21.08,-16.59,2.13,11.4,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
3,17,0.0,-6.5,-168.2,0.0,-6.5,-72.83,9.13,51.92,76.49,73.77,0.0,6.5,-7.85,-25.4,0.0,6.5,373.58,38.81,-14.01,15.59,-142.76,19.25,-22.95,-1.74,9.13,51.92,76.49,73.77,-7.16,-45.42,-8.42,-25.4,17.0,-35.04,7.8,38.81,4.0,2.0,4.0,,2.0,,1,,
3,18,0.0,2.97,55.95,0.0,2.97,25.5,96.04,45.04,2.52,18.93,0.0,-2.97,-350.36,17.16,0.0,-2.97,56.66,-12.98,-19.4,-36.98,22.79,-0.01,17.33,-25.72,96.04,45.04,2.52,18.93,-21.39,41.92,8.15,17.16,77.1,33.35,338.2,-12.98,2.0,2.0,2.0,2.0,3.0,2.0,0,0.0,0.0
3,19,0.0,-2.04,162.16,0.0,-2.04,-79.79,2.35,36.53,26.84,51.9,0.0,2.04,1.74,-26.0,0.0,2.04,377.89,32.24,-24.51,38.59,-115.97,4.06,-27.08,-2.75,2.35,36.53,26.84,51.9,-25.55,-36.7,-16.15,-26.0,10.0,-35.23,3.95,32.24,1.0,2.0,1.0,5.0,4.0,5.0,0,1.0,-1.0
3,20,0.0,7.8,-166.95,0.0,7.8,43.59,32.64,18.01,3.01,30.71,0.0,-7.8,-364.41,20.12,0.0,-7.8,13.03,-16.7,-23.96,-33.88,113.35,-0.7,13.02,-16.73,32.64,18.01,3.01,30.71,-2.19,37.66,2.96,20.12,18.75,42.94,352.51,-16.7,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
3,21,0.0,-3.91,17.5,0.0,-3.91,12.19,8.3,1.2,6.49,4.25,0.0,3.91,10.5,0.23,0.0,3.91,-10.37,4.34,-8.88,-3.89,-2.51,2.15,1.34,4.57,8.3,1.2,6.49,4.25,3.98,-0.6,-0.31,0.23,-2.23,-0.1,-0.03,4.34,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
3,22,0.0,-1.64,9.38,0.0,-1.64,5.55,8.33,4.01,9.21,7.89,0.0,1.64,9.36,0.88,0.0,1.64,-5.45,2.87,-13.41,1.18,-6.18,-2.29,-0.22,7.39,8.33,4.01,9.21,7.89,9.37,3.39,-0.4,0.88,-3.49,-0.7,0.07,2.87,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
3,23,0.0,-3.31,20.39,0.0,-3.31,15.62,6.64,1.0,7.93,6.2,0.0,3.31,17.86,1.38,0.0,3.31,-13.43,5.33,-14.22,3.4,-13.01,-2.23,0.53,7.04,6.64,1.0,7.93,6.2,11.18,2.55,-0.38,1.38,-0.89,0.78,-0.03,5.33,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
3,24,0.0,-2.22,13.68,0.0,-2.22,10.4,2.69,15.61,1.47,3.76,0.0,2.22,4.56,-1.17,0.0,2.22,-6.02,2.55,-3.61,-4.67,6.62,1.43,0.05,3.04,2.69,15.61,1.47,3.76,1.81,-5.89,-0.27,-1.17,-5.44,3.94,0.03,2.55,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
4,1,0.0,-0.12,-4.31,0.0,-0.12,4.9,15.45,9.99,1.13,1.35,0.0,0.12,-4.83,-0.49,0.0,0.12,4.08,-0.76,1.92,-1.03,3.42,0.01,0.32,-0.33,15.45,9.99,1.13,1.35,-1.86,-0.31,-0.12,-0.49,6.45,0.03,-119.46,-0.76,1.0,2.0,1.0,1.0,2.0,1.0,0,0.0,0.0
4,2,0.0,0.13,1.71,0.0,0.13,-0.62,19.05,10.77,0.03,0.51,0.0,-0.13,-0.44,-0.49,0.0,-0.13,-1.32,0.32,0.7,-2.59,6.69,-2.45,-0.41,-0.75,19.05,10.77,0.03,0.51,-4.22,-0.64,-0.42,-0.49,5.95,-0.76,-119.47,0.32,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
4,3,0.0,-0.01,2.59,0.0,-0.01,-4.28,34.51,20.76,1.1,0.85,0.0,0.01,5.26,0.98,0.0,0.01,-2.76,0.44,-2.62,3.62,-10.11,2.44,0.09,1.08,34.51,20.76,1.1,0.85,6.08,0.95,0.55,0.98,-12.4,0.74,238.93,0.44,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
4,4,0.0,-0.07,6.55,0.0,-0.07,-6.9,32.05,21.07,0.44,0.83,0.0,0.07,6.16,-0.5,0.0,0.07,-5.09,-0.8,5.49,3.67,-16.92,3.89,0.05,0.45,32.05,21.07,0.44,0.83,8.39,-0.68,0.74,-0.5,-10.92,1.3,239.04,-0.8,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
4,5,0.0,0.44,7.37,0.0,0.44,-7.49,31.84,18.64,0.68,0.96,0.0,-0.44,5.75,-0.24,0.0,-0.44,-5.33,-0.06,3.53,-0.68,-0.6,2.99,-0.67,0.98,31.84,18.64,0.68,0.96,7.77,-0.94,0.69,-0.24,-13.66,0.49,238.74,-0.06,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
4,6,26.15,0.13,-175.84,0.0,0.13,81.11,1.72,22.27,13.31,7.36,-48.4,-0.13,-357.91,-2.9,44.83,-0.13,-1.53,-13.61,1.5,-46.13,148.44,8.87,11.51,-24.81,1.72,22.27,13.31,7.36,23.14,22.07,-0.17,-2.9,-11.18,24.76,-119.04,-13.61,3.0,4.0,3.0,3.0,4.0,3.0,0,0.0,0.0
4,7,0.0,2.6,156.47,0.0,2.6,62.7,28.65,71.28,6.77,11.91,0.0,-2.6,-390.74,9.08,0.0,-2.6,-23.62,-18.22,-1.74,-20.62,141.55,3.78,12.82,-25.63,28.65,71.28,6.77,11.91,-1.03,23.24,1.81,9.08,-22.34,24.46,-115.4,-18.22,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
4,8,1.5,-29.54,-106.3,0.0,-29.54,139.07,48.85,28.98,83.35,60.15,78.8,29.54,-34.26,20.06,89.36,29.54,308.07,7.12,-18.61,-6.2,-6.11,-38.83,-75.03,-128.14,48.85,28.98,83.35,60.15,-44.33,80.96,9.4,20.06,-63.02,36.61,-112.91,7.12,6.0,4.0,7.0,7.0,2.0,7.0,2,2.0,0.0
4,9,10.66,8.92,171.66,0.0,8.92,76.49,2.8,17.02,22.02,28.58,-39.55,-8.92,-365.86,5.91,-40.5,-8.92,-21.4,-16.86,13.47,-42.8,108.04,9.79,8.55,-28.9,2.8,17.02,22.02,28.58,24.84,17.85,-2.83,5.91,18.48,-4.51,237.25,-16.86,1.0,4.0,2.0,3.0,4.0,3.0,0,0.0,0.0
4,10,0.0,0.0,0.0,0.0,4.95,-87.12,34.14,8.23,135.19,144.39,-169.53,-4.95,-263.78,44.06,132.39,-4.95,81.4,-64.33,0.0,0.0,0.0,-0.48,34.51,-149.91,34.14,8.23,135.19,144.39,13.52,-4.39,-27.4,44.06,115.8,-51.81,187.84,-64.33,4.0,4.0,4.0,5.0,2.0,4.0,1,1.0,0.0
4,11,59.06,2.98,78.34,0.0,2.98,-83.75,7.74,0.0,58.02,45.52,-155.37,-2.98,-260.09,31.98,0.0,0.0,0.0,-73.56,-34.55,-24.49,36.07,2.07,23.63,-116.09,7.74,0.0,58.02,45.52,14.24,-14.34,-16.84,31.98,0.0,0.0,0.0,-73.56,5.0,4.0,5.0,6.0,2.0,6.0,1,1.0,0.0
4,12,42.58,-1.16,-122.29,0.0,-1.16,-67.37,35.09,6.45,23.39,22.73,-46.22,1.16,-350.97,-7.12,-45.4,1.16,328.75,5.05,-26.95,41.87,-107.91,11.46,0.65,-29.55,35.09,6.45,23.39,22.73,40.09,19.89,6.82,-7.12,-6.37,-71.16,237.62,5.05,3.0,4.0,3.0,5.0,4.0,5.0,0,1.0,-1.0
4,13,42.39,-4.19,-106.18,0.0,-4.19,117.48,0.0,13.31,118.08,104.57,0.0,0.0,0.0,9.87,106.18,4.19,273.17,28.23,8.05,-24.9,-52.14,-19.98,-50.11,144.42,0.0,13.31,118.08,104.57,0.0,0.0,0.0,9.87,109.4,8.23,-81.91,28.23,6.0,2.0,6.0,7.0,2.0,7.0,1,2.0,-1.0
4,14,0.0,5.8,162.05,0.0,5.8,-38.43,23.6,14.34,3.83,14.16,0.0,-5.8,48.3,0.71,0.0,-5.8,-27.71,-3.31,7.2,-26.37,143.99,9.87,-2.66,-13.1,23.6,14.34,3.83,14.16,8.18,13.62,0.67,0.71,-2.65,7.82,239.92,-3.31,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
4,15,7.69,33.74,-109.27,0.0,33.74,-124.39,10.72,47.13,29.14,21.37,-34.02,-33.74,-341.31,70.78,41.23,-33.74,0.33,-27.02,-39.86,-9.71,19.45,39.07,49.26,-78.08,10.72,47.13,29.14,21.37,65.97,-10.42,-35.69,70.78,50.56,8.32,216.35,-27.02,2.0,4.0,3.0,5.0,5.0,6.0,0,1.0,-1.0
4,16,39.87,-0.33,-101.42,0.0,-0.33,105.23,32.6,2.73,19.23,19.08,145.82,0.33,-269.72,-27.04,166.77,0.33,271.34,18.15,-51.64,13.8,-48.61,12.56,-9.13,108.21,32.6,2.73,19.23,19.08,6.33,-8.17,0.47,-27.04,34.3,-0.09,-100.41,18.15,3.0,7.0,6.0,4.0,2.0,4.0,1,1.0,0.0
4,17,0.0,6.75,164.4,0.0,6.75,60.07,6.47,29.7,9.99,23.44,0.0,-6.75,56.73,3.45,0.0,-6.75,-49.65,-13.52,-4.92,-44.2,104.09,4.93,3.51,-30.9,6.47,29.7,9.99,23.44,4.61,8.56,0.73,3.45,-1.84,2.77,-119.47,-13.52,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
4,18,0.0,60.35,81.93,0.0,60.35,-171.67,9.02,9.28,31.21,42.98,0.0,-60.35,-327.79,-11.91,0.0,-60.35,24.15,9.2,-25.21,43.13,-26.7,29.44,73.52,-155.17,9.02,9.28,31.21,42.98,136.64,-69.19,111.97,-11.91,106.92,-68.46,-89.84,9.2,3.0,2.0,3.0,7.0,7.0,9.0,0,2.0,-2.0
4,19,38.83,-5.64,-107.73,0.0,-5.64,158.43,4.63,19.11,27.21,19.75,99.4,5.64,-30.31,-9.3,-99.09,5.64,310.93,4.17,-42.24,-7.02,-59.52,7.85,0.49,129.3,4.63,19.11,27.21,19.75,36.37,35.62,9.07,-9.3,31.01,16.42,-110.85,4.17,3.0,7.0,6.0,4.0,4.0,4.0,1,1.0,0.0
4,20,0.0,5.47,176.14,0.0,5.47,57.6,9.08,12.01,16.84,21.9,0.0,-5.47,58.18,10.32,0.0,-5.47,-51.73,-9.53,-21.16,-34.6,92.88,5.49,6.53,-35.92,9.08,12.01,16.84,21.9,-0.86,19.47,1.21,10.32,-10.96,1.46,-118.65,-9.53,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
4,21,0.0,2.61,126.73,0.0,2.61,90.17,2.46,2.76,10.12,17.47,0.0,-2.61,-404.61,12.87,0.0,-2.61,-41.02,-44.92,-40.91,-2.83,149.98,5.09,20.47,-9.34,2.46,2.76,10.12,17.47,6.04,25.61,0.75,12.87,-14.71,20.31,-114.39,-44.92,1.0,2.0,1.0,5.0,2.0,4.0,0,1.0,-1.0
4,22,21.68,-24.69,-162.06,0.0,-24.69,-100.12,27.88,0.93,15.11,13.88,-34.98,24.69,28.17,-66.34,-32.49,24.69,371.55,36.86,-38.19,62.27,151.07,5.86,-38.15,-20.67,27.88,0.93,15.11,13.88,-0.92,-9.81,-10.32,-66.34,8.65,-38.51,-111.28,36.86,4.0,4.0,4.0,5.0,2.0,4.0,1,1.0,0.0
4,23,0.0,0.0,0.0,0.0,17.79,-137.31,16.72,2.23,46.58,62.91,0.0,-17.79,-343.8,74.51,0.0,-17.79,6.74,-77.92,0.0,0.0,0.0,56.43,78.49,-62.15,16.72,2.23,46.58,62.91,81.5,-3.29,-75.63,74.51,82.75,-7.06,169.68,-77.92,2.0,2.0,2.0,4.0,5.0,5.0,0,1.0,-1.0
4,24,0.0,-5.38,147.35,0.0,-5.38,49.53,4.13,41.29,14.48,16.48,0.0,5.38,39.42,1.13,0.0,5.38,-17.25,-9.15,-34.87,13.52,147.36,-3.96,10.57,-2.92,4.13,41.29,14.48,16.48,-9.0,9.71,0.67,1.13,-38.65,8.38,-119.59,-9.15,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
4,25,0.0,-29.53,-109.4,0.0,-29.53,177.83,16.86,9.63,14.9,25.43,0.0,29.53,21.62,31.39,0.0,29.53,320.95,-36.83,11.45,-31.89,13.68,10.21,-66.77,-179.49,16.86,9.63,14.9,25.43,9.76,63.84,-1.32,31.39,-93.3,59.95,-49.31,-36.83,4.0,2.0,4.0,4.0,2.0,4.0,1,1.0,0.0
4,26,0.0,-1.26,20.33,0.0,-1.26,-10.42,24.06,6.05,5.24,8.19,0.0,1.26,6.31,0.82,0.0,1.26,-6.36,-0.69,4.19,-13.53,10.3,11.36,2.3,-5.07,24.06,6.05,5.24,8.19,5.01,-5.66,0.47,0.82,-20.16,4.82,238.49,-0.69,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,0.0
4,27,0.0,0.18,5.31,0.0,0.18,-6.6,27.6,25.09,4.19,5.95,0.0,-0.18,6.62,0.6,0.0,-0.18,-7.64,-3.72,-15.11,2.71,-6.27,3.18,1.94,-3.65,27.6,25.09,4.19,5.95,1.82,-1.68,0.35,0.6,-3.87,1.41,239.89,-3.72,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
4,28,0.0,0.48,6.14,0.0,0.48,-4.68,26.85,23.34,4.64,5.75,0.0,-0.48,5.08,2.65,0.0,-0.48,-5.69,-2.29,-19.61,1.85,-10.83,3.01,1.82,-3.01,26.85,23.34,4.64,5.75,1.77,-1.24,0.37,2.65,-5.0,1.23,239.86,-2.29,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
4,29,0.0,0.5,-26.86,0.0,0.5,-6.85,27.25,23.52,5.46,6.65,0.0,-0.5,7.16,0.21,0.0,-0.5,-8.02,-4.57,-14.78,-4.13,13.71,4.54,1.93,-4.16,27.25,23.52,5.46,6.65,3.7,-1.37,0.46,0.21,-3.07,1.26,239.96,-4.57,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
5,1,0.0,-0.83,-1.25,0.0,-0.83,-5.29,0.23,0.24,1.05,0.79,0.0,0.83,-5.14,-0.61,0.0,0.83,5.72,0.71,-1.7,-0.3,-0.41,-1.15,0.14,2.5,0.23,0.24,1.05,0.79,0.06,-0.03,-0.09,-0.61,-2.1,-0.39,-0.12,0.71,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
5,2,0.0,0.6,8.98,0.0,0.6,5.1,0.5,0.51,0.27,1.44,0.0,-0.6,4.58,0.71,0.0,-0.6,-4.98,-0.3,1.44,0.07,-0.31,0.64,-0.07,-1.86,0.5,0.51,0.27,1.44,-1.79,-0.24,0.14,0.71,0.77,0.67,0.11,-0.3,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
5,3,0.0,0.24,-7.73,0.0,0.24,0.19,0.27,0.28,0.78,0.65,0.0,-0.24,0.56,-0.1,0.0,-0.24,-0.74,-0.42,0.26,0.23,0.72,0.51,-0.07,-0.64,0.27,0.28,0.78,0.65,1.73,0.28,-0.05,-0.1,1.33,-0.28,0.01,-0.42,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
5,4,0.0,-0.88,-4.89,0.0,-0.88,-5.73,1.44,0.08,0.96,0.28,0.0,0.88,-4.15,0.09,0.0,0.88,4.92,2.44,-2.96,1.56,5.56,0.51,-0.32,0.61,1.44,0.08,0.96,0.28,0.27,1.2,-0.15,0.09,0.29,-0.62,-0.3,2.44,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
5,5,0.0,3.92,158.86,0.0,3.92,-105.65,19.97,31.01,4.52,17.54,0.0,-3.92,-42.72,-47.4,0.0,-3.92,361.37,42.05,-13.57,75.1,156.72,44.79,-36.27,-27.63,19.97,31.01,4.52,17.54,-68.26,-43.47,-51.32,-47.4,15.06,-52.84,-0.28,42.05,1.0,2.0,1.0,6.0,4.0,7.0,0,2.0,-2.0
5,6,0.0,-2.98,83.99,0.0,-2.98,15.66,15.38,25.05,15.81,34.76,0.0,2.98,-13.73,-0.92,0.0,2.98,-18.3,-5.64,6.67,-71.71,-14.33,-8.58,4.1,-7.86,15.38,25.05,15.81,34.76,-20.11,-19.97,2.24,-0.92,-16.26,-3.94,1.8,-5.64,1.0,2.0,1.0,2.0,4.0,3.0,0,0.0,0.0
5,7,0.0,-13.11,160.5,0.0,-13.11,134.92,25.28,12.21,22.65,14.57,0.0,13.11,-330.61,70.87,0.0,13.11,63.08,-63.88,-7.0,-47.17,145.81,88.97,70.08,73.15,25.28,12.21,22.65,14.57,50.07,85.61,-42.02,70.87,-101.94,43.7,103.87,-63.88,1.0,2.0,1.0,6.0,5.0,8.0,0,2.0,-2.0
5,8,0.0,-4.65,140.14,0.0,-4.65,-71.21,1.46,11.77,3.84,1.16,0.0,4.65,6.2,-24.14,0.0,4.65,387.51,17.66,-40.44,69.46,-80.7,26.33,-17.01,5.39,1.46,11.77,3.84,1.16,-1.22,-33.94,-3.08,-24.14,27.68,-27.04,3.51,17.66,1.0,2.0,1.0,5.0,2.0,4.0,0,1.0,-1.0
5,9,0.0,5.33,156.06,0.0,5.33,-44.08,67.18,32.81,5.82,1.59,0.0,-5.33,19.81,1.22,0.0,-5.33,382.41,3.23,-12.05,-18.17,-168.03,4.87,-5.51,-9.95,67.18,32.81,5.82,1.59,-3.59,-5.2,-0.06,1.22,-1.34,-11.92,-0.23,3.23,1.0,1.0,1.0,5.0,1.0,4.0,0,1.0,-1.0
5,10,0.0,-9.05,-112.48,0.0,-9.05,115.73,23.97,7.75,0.11,12.14,0.0,9.05,-349.29,62.16,0.0,9.05,10.2,-31.63,-27.8,-70.71,99.42,53.36,64.64,-2.55,23.97,7.75,0.11,12.14,79.64,45.05,-46.49,62.16,78.23,52.18,311.34,-31.63,1.0,2.0,1.0,5.0,5.0,6.0,0,1.0,-1.0
5,11,0.0,0.0,0.0,0.0,-2.46,-71.32,5.16,8.76,4.49,1.36,0.0,2.46,6.38,-20.08,0.0,2.46,383.08,20.97,0.0,0.0,0.0,24.58,-18.21,2.01,5.16,8.76,4.49,1.36,-10.04,-29.87,-6.04,-20.08,21.95,-29.82,1.79,20.97,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
5,12,0.0,-2.58,166.28,0.0,-2.58,20.98,23.66,24.11,42.66,8.34,0.0,2.58,-4.5,22.48,0.0,2.58,-16.42,26.38,-159.42,10.91,-173.21,44.22,6.57,-2.55,23.66,24.11,42.66,8.34,14.29,-23.1,-0.46,22.48,39.05,-2.55,358.94,26.38,2.0,2.0,2.0,6.0,2.0,6.0,0,1.0,-1.0
5,13,0.0,0.0,0.0,0.0,15.35,109.91,71.86,18.3,34.76,18.05,0.0,-15.35,-382.51,69.03,0.0,-15.35,39.2,-64.02,0.0,0.0,0.0,1.74,54.35,4.27,71.86,18.3,34.76,18.05,-2.19,43.06,10.88,69.03,-90.54,31.93,85.96,-64.02,2.0,2.0,2.0,3.0,2.0,3.0,0,0.0,0.0
5,14,0.0,-6.91,155.88,0.0,-6.91,20.79,7.85,12.66,0.23,15.44,0.0,6.91,10.28,-7.24,0.0,6.91,-32.87,9.16,-21.84,44.33,139.63,5.14,-3.11,19.29,7.85,12.66,0.23,15.44,-1.01,-14.57,-1.18,-7.24,10.93,-11.77,359.07,9.16,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
5,15,0.0,1.18,170.18,0.0,1.18,-61.43,9.72,61.72,13.01,13.67,0.0,-1.18,-26.87,-13.77,0.0,-1.18,381.32,19.72,-14.28,47.34,-174.18,13.68,-19.79,8.41,9.72,61.72,13.01,13.67,-33.31,-48.65,-14.48,-13.77,22.11,-21.01,1.38,19.72,1.0,2.0,1.0,5.0,4.0,5.0,0,1.0,-1.0
5,16,0.0,2.75,127.82,0.0,2.75,72.92,45.08,57.44,12.88,15.35,0.0,-2.75,-385.08,27.91,0.0,-2.75,8.95,-22.17,-4.83,-61.35,4.73,17.66,27.45,-14.21,45.08,57.44,12.88,15.35,24.3,31.01,-8.18,27.91,-4.68,53.33,10.64,-22.17,1.0,2.0,1.0,4.0,4.0,4.0,0,1.0,-1.0
5,17,0.0,0.0,0.0,0.0,-11.69,59.1,54.74,30.74,16.89,5.43,-31.81,11.69,26.66,-11.41,-33.8,11.69,372.44,14.42,0.0,0.0,0.0,9.21,-4.03,34.49,54.74,30.74,16.89,5.43,23.18,9.17,2.89,-11.41,23.54,-21.32,1.18,14.42,2.0,4.0,3.0,3.0,4.0,3.0,0,0.0,0.0
5,18,0.0,2.52,-148.54,0.0,2.52,-50.84,15.72,37.36,14.52,2.74,0.0,-2.52,19.33,-7.62,0.0,-2.52,-34.47,7.54,-27.37,0.31,176.46,1.11,-10.43,5.9,15.72,37.36,14.52,2.74,-0.2,-10.92,-0.99,-7.62,-1.17,-6.29,357.89,7.54,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
5,19,0.0,12.95,172.28,0.0,12.95,94.72,32.42,5.83,6.64,12.84,0.0,-12.95,-378.67,63.71,0.0,-12.95,7.32,-29.24,-21.32,-64.54,80.87,24.39,44.9,-27.66,32.42,5.83,6.64,12.84,38.63,41.72,-24.6,63.71,38.84,60.94,339.62,-29.24,1.0,2.0,1.0,5.0,4.0,5.0,0,1.0,-1.0
5,20,0.0,0.0,0.0,0.0,-14.45,-77.69,4.96,33.3,20.15,20.27,0.0,14.45,-23.51,-29.62,0.0,14.45,394.35,40.8,0.0,0.0,0.0,34.7,-24.98,13.3,4.96,33.3,20.15,20.27,-4.46,-58.55,-7.97,-29.62,39.83,-18.12,14.05,40.8,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
5,21,0.0,-5.95,-133.86,0.0,-5.95,-60.04,70.6,61.39,36.38,22.79,0.0,5.95,-95.59,-23.57,0.0,5.95,346.77,61.14,-111.68,66.64,-165.95,49.8,-35.46,1.93,70.6,61.39,36.38,22.79,-100.6,-60.16,-86.51,-23.57,42.55,-33.5,18.37,61.14,2.0,2.0,2.0,7.0,3.0,7.0,0,2.0,-2.0
5,22,0.0,-1.87,160.73,0.0,-1.87,46.71,75.76,57.82,23.19,17.18,0.0,1.87,-0.19,23.0,0.0,1.87,-14.73,-14.72,-107.96,-54.6,148.23,29.8,14.82,13.86,75.76,57.82,23.19,17.18,48.76,-25.67,-22.64,23.0,-24.22,-3.19,12.64,-14.72,1.0,2.0,1.0,5.0,4.0,5.0,0,1.0,-1.0
5,23,0.0,0.0,0.0,0.0,15.24,111.06,88.46,8.11,38.2,19.34,0.0,-15.24,-365.87,79.94,0.0,-15.24,67.69,-48.72,0.0,0.0,0.0,-0.72,62.98,58.41,88.46,8.11,38.2,19.34,-30.29,32.28,46.51,79.94,-102.76,-27.95,63.86,-48.72,2.0,2.0,2.0,3.0,3.0,3.0,0,0.0,0.0
5,24,0.0,-0.71,172.52,0.0,-0.71,46.96,64.22,12.87,42.75,10.54,0.0,0.71,-380.49,16.17,0.0,0.71,7.53,-12.22,-9.03,-23.03,155.31,9.75,16.18,-4.55,64.22,12.87,42.75,10.54,12.38,21.29,-1.83,16.17,-16.13,33.77,9.2,-12.22,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
5,25,0.0,0.65,-2.72,0.0,0.65,-6.73,1.37,10.52,4.7,1.92,0.0,-0.65,-4.68,-1.73,0.0,-0.65,8.27,-0.7,11.76,0.42,7.0,3.57,-1.41,2.93,1.37,10.52,4.7,1.92,2.69,0.49,-0.15,-1.73,-1.76,1.67,-0.11,-0.7,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
5,26,0.0,0.57,-13.16,0.0,0.57,3.71,1.0,8.27,4.98,2.23,0.0,-0.57,3.58,-2.49,0.0,-0.57,-2.26,-1.73,10.28,1.42,3.68,5.12,-1.13,1.62,1.0,8.27,4.98,2.23,2.55,-1.32,-0.13,-2.49,-0.56,1.72,-0.1,-1.73,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
5,27,0.0,1.31,11.41,0.0,1.31,-18.98,6.94,4.26,6.36,1.62,0.0,-1.31,5.72,-3.36,0.0,-1.31,-5.53,-3.2,14.45,-1.59,8.56,4.11,-1.61,1.18,6.94,4.26,6.36,1.62,-1.07,-0.75,-0.01,-3.36,0.3,0.48,-0.07,-3.2,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
