Person_ID,Window_ID,Neck_alpha_2D,Neck_beta_2D,Neck_gamma_2D,Torso_alpha_2D,Torso_beta_2D,Torso_gamma_2D,Right_elbow_2D,Left_elbow_2D,Right_Knee_2D,Left_knee_2D,Right_shoulder_alpha_2D,Right_shoulder_beta_2D,Right_shoulder_gamma_2D,Right_shoulder_elevation_2D,Left_shoulder_alpha_2D,Left_shoulder_beta_2D,Left_shoulder_gamma_2D,Left_shoulder_elevation_2D,Neck_alpha_3D,Neck_beta_3D,Neck_gamma_3D,Torso_alpha_3D,Torso_beta_3D,Torso_gamma_3D,Right_elbow_3D,Left_elbow_3D,Right_Knee_3D,Left_knee_3D,Right_shoulder_alpha_3D,Right_shoulder_beta_3D,Right_shoulder_gamma_3D,Right_shoulder_elevation_3D,Left_shoulder_alpha_3D,Left_shoulder_beta_3D,Left_shoulder_gamma_3D,Left_shoulder_elevation_3D,Table_A_2D,Table_B_2D,Table_C_2D,Table_A_3D,Table_B_3D,Table_C_3D,REBA_2D,REBA_3D,Error
1,14,33.98,-17.67,-92.26,0.0,-17.67,119.98,58.16,19.04,12.42,7.45,-77.22,17.67,-9.81,-39.54,-81.69,17.67,311.07,40.01,-49.37,0.63,-50.96,31.86,-56.11,87.84,58.16,19.04,12.42,7.45,23.14,40.26,19.56,-39.54,65.35,15.56,-310.63,40.01,3.0,4.0,3.0,7.0,4.0,8.0,0,2.0,-2.0
1,15,31.36,6.16,-145.47,0.0,6.16,74.84,36.4,50.71,8.89,3.13,94.7,-6.16,-10.53,11.12,83.76,-6.16,322.08,-16.03,2.45,-56.36,128.12,-0.92,5.88,-42.29,36.4,50.71,8.89,3.13,8.74,15.27,1.3,11.12,-16.98,-2.53,-353.81,-16.03,3.0,7.0,6.0,3.0,2.0,3.0,1,0.0,1.0
1,16,0.0,0.0,0.0,0.0,15.69,-141.54,25.05,26.26,10.22,10.41,100.83,-15.69,-312.33,-4.04,102.62,-15.69,27.5,-19.76,0.0,0.0,0.0,-7.13,41.16,-127.96,25.05,26.26,10.22,10.41,36.82,0.69,-5.77,-4.04,33.29,-26.16,-6.03,-19.76,2.0,7.0,5.0,3.0,4.0,3.0,1,0.0,1.0
1,17,0.0,-14.36,174.24,0.0,-14.36,-69.24,8.62,15.62,31.89,0.86,0.0,14.36,53.32,-29.87,0.0,14.36,388.76,14.94,-35.7,29.04,-95.69,7.92,-17.38,39.08,8.62,15.62,31.89,0.86,29.51,2.59,7.02,-29.87,29.18,-22.42,-351.8,14.94,2.0,2.0,2.0,,4.0,,0,,
1,18,18.71,9.33,-159.33,0.0,9.33,-74.19,25.67,1.08,9.18,3.29,-78.1,-9.33,-338.45,10.58,-75.4,-9.33,338.6,-14.51,-14.02,-52.8,144.04,4.4,2.39,-36.32,25.67,1.08,9.18,3.29,14.6,12.43,-0.05,10.58,9.46,-21.63,-359.77,-14.51,1.0,4.0,2.0,4.0,2.0,4.0,0,1.0,-1.0
1,19,0.0,0.52,150.66,0.0,0.52,59.58,13.08,46.8,1.75,7.56,0.0,-0.52,-367.2,13.51,0.0,-0.52,381.74,-16.39,-6.47,-20.97,-173.4,2.25,15.12,-2.96,13.08,46.8,1.75,7.56,21.29,38.18,-1.75,13.51,2.26,-25.58,-357.77,-16.39,1.0,2.0,1.0,4.0,4.0,4.0,0,1.0,-1.0
1,20,45.07,-7.19,87.23,0.0,-7.19,99.74,26.85,46.95,5.49,25.75,130.9,7.19,-47.18,-25.35,-118.32,7.19,290.83,18.26,-48.12,14.39,-45.58,26.05,-39.81,86.55,26.85,46.95,5.49,25.75,31.67,-3.07,7.38,-25.35,29.9,14.51,-348.58,18.26,3.0,7.0,6.0,7.0,4.0,8.0,1,2.0,-1.0
1,21,22.85,6.05,-145.95,0.0,6.05,78.72,51.08,83.22,7.7,2.05,-105.8,-6.05,-18.83,16.71,80.3,-6.05,317.93,-19.82,-10.18,-59.45,129.39,-1.39,8.49,-38.63,51.08,83.22,7.7,2.05,15.43,8.42,-0.48,16.71,-29.87,15.76,-348.49,-19.82,3.0,4.0,3.0,4.0,2.0,4.0,0,1.0,-1.0
1,22,41.52,8.29,-115.83,0.0,8.29,86.33,23.66,133.84,16.09,5.95,-113.61,-8.29,-280.45,66.59,102.05,-8.29,292.66,-43.53,-37.12,-71.36,49.47,29.78,44.67,-38.15,23.66,133.84,16.09,5.95,71.44,15.36,-70.2,66.59,-21.43,33.83,-326.85,-43.53,3.0,4.0,3.0,6.0,5.0,8.0,0,2.0,-2.0
1,23,0.0,1.13,17.85,0.0,1.13,13.18,8.65,4.84,2.67,0.76,0.0,-1.13,9.96,1.22,0.0,-1.13,-8.69,-1.34,-11.77,1.14,-9.88,0.19,0.34,-2.73,8.65,4.84,2.67,0.76,4.98,-3.48,0.28,1.22,0.42,4.69,-359.77,-1.34,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
1,24,0.0,1.83,7.52,0.0,1.83,3.29,7.63,2.9,1.14,2.63,0.0,-1.83,5.3,-1.34,0.0,-1.83,3.64,-4.96,-4.14,-1.46,-8.94,-0.03,0.08,-1.0,7.63,2.9,1.14,2.63,11.08,0.62,0.27,-1.34,0.57,6.88,-359.68,-4.96,1.0,2.0,1.0,1.0,2.0,1.0,0,0.0,0.0
1,25,0.0,2.02,2.1,0.0,2.02,-1.41,9.91,3.31,0.6,4.1,0.0,-2.02,0.71,-1.65,0.0,-2.02,8.94,-5.73,-3.41,-1.45,-6.15,0.66,0.2,-1.0,9.91,3.31,0.6,4.1,11.13,0.77,0.28,-1.65,2.1,7.32,-359.67,-5.73,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
2,1,0.0,-0.13,3.9,0.0,-0.13,-2.76,0.38,1.79,2.18,0.67,0.0,0.13,3.21,-0.04,0.0,0.13,-2.46,0.4,-1.52,-0.63,-3.1,-0.37,-0.12,0.42,0.38,1.79,2.18,0.67,0.75,0.56,0.04,-0.04,-0.38,0.08,-0.09,0.4,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
2,2,0.0,-0.04,-1.7,0.0,-0.04,1.64,0.46,11.61,0.33,1.27,0.0,0.04,-1.9,0.1,0.0,0.04,1.84,0.16,-0.59,0.2,-0.26,0.26,0.01,0.1,0.46,11.61,0.33,1.27,-0.78,-0.23,-0.02,0.1,-3.64,0.02,-0.11,0.16,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
2,3,0.0,0.17,-2.2,0.0,0.17,1.12,0.84,13.41,1.86,1.94,0.0,-0.17,-1.3,-0.05,0.0,-0.17,0.62,-0.56,2.11,0.42,3.36,0.12,0.11,-0.52,0.84,13.41,1.86,1.94,0.03,-0.33,-0.02,-0.05,4.02,-0.1,0.2,-0.56,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
2,4,0.0,2.19,166.43,0.0,2.19,56.61,13.22,20.12,6.99,3.86,0.0,-2.19,55.86,4.68,0.0,-2.19,-42.66,-15.38,-5.27,-37.42,139.7,2.69,10.46,-21.48,13.22,20.12,6.99,3.86,-3.28,11.34,-0.19,4.68,19.48,3.73,-358.97,-15.38,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
2,5,0.0,-18.66,143.07,0.0,-18.66,-87.11,29.49,18.94,9.74,29.45,0.0,18.66,-20.3,-53.93,0.0,18.66,325.34,65.89,-23.77,76.47,155.92,26.82,-39.05,-6.61,29.49,18.94,9.74,29.45,-11.93,-63.58,-7.61,-53.93,24.4,-82.44,-357.16,65.89,3.0,2.0,3.0,6.0,2.0,6.0,0,1.0,-1.0
2,6,51.93,0.84,85.45,0.0,0.84,-109.7,14.5,6.49,7.0,17.17,-145.43,-0.84,-276.2,-26.71,136.13,-0.84,59.05,-0.97,7.37,77.51,-24.97,19.38,46.21,149.46,14.5,6.49,7.0,17.17,-52.31,-33.73,-13.32,-26.71,6.38,-55.94,-3.73,-0.97,3.0,4.0,3.0,2.0,4.0,3.0,0,0.0,0.0
2,7,46.96,-8.81,119.04,0.0,-8.81,-70.54,45.05,42.31,2.3,3.13,-75.53,8.81,-13.56,-22.72,-68.44,8.81,329.87,16.66,-27.16,71.11,-118.74,8.66,-8.08,25.78,45.05,42.31,2.3,3.13,18.19,-7.59,7.52,-22.72,54.32,-17.81,-348.18,16.66,3.0,4.0,3.0,4.0,2.0,4.0,0,1.0,-1.0
2,8,5.88,8.39,153.28,0.0,8.39,73.3,25.42,6.54,4.64,9.42,15.09,-8.39,-388.16,18.24,12.6,-8.39,-34.1,-21.04,-21.19,-48.99,162.11,3.68,13.21,-16.6,25.42,6.54,4.64,9.42,-4.6,20.26,0.16,18.24,-4.31,17.16,-350.93,-21.04,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
